episode_id,turn,game_result,opponent_bench_pre_attack,v2_actual_allocation_by_slot,v2_actual_kos,v2_actual_prize,optimal_allocation_by_slot,optimal_kos,optimal_prize,prize_difference
92239608,12,WIN,slot0:Lunatone hp=50/110 prize=1 immune=False(None); slot1:Drilbur hp=10/70 prize=1 immune=False(None); slot2:Charcadet hp=80/80 prize=1 immune=False(None),"{0: 5, 1: 0, 2: 1}",['Lunatone'],1,"{0: 5, 1: 1, 2: 0}","['Lunatone', 'Drilbur']",2,1
92278623,7,WIN,slot0:Genesect hp=110/110 prize=1 immune=False(None); slot1:Dunsparce hp=70/70 prize=1 immune=False(None); slot2:Abra hp=50/50 prize=1 immune=False(None); slot3:Abra hp=50/50 prize=1 immune=False(None); slot4:Dunsparce hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 4, 3: 2, 4: 0}",[],0,"{0: 0, 1: 0, 2: 0, 3: 5, 4: 1}",['Abra'],1,1
92278623,9,WIN,slot0:Genesect hp=110/110 prize=1 immune=False(None); slot1:Kadabra hp=40/80 prize=1 immune=False(None); slot2:Kadabra hp=60/80 prize=1 immune=False(None); slot3:Dudunsparce hp=140/140 prize=1 immune=False(None); slot4:Abra hp=50/50 prize=1 immune=False(None),"{0: 0, 1: 3, 2: 3, 3: 0, 4: 0}",[],0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 6}",['Abra'],1,1
92309614,7,WIN,slot0:Dunsparce hp=10/70 prize=1 immune=False(None); slot1:Mega Lopunny ex hp=330/330 prize=3 immune=False(None); slot2:Dunsparce hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 6}",[],0,"{0: 1, 1: 0, 2: 5}",['Dunsparce'],1,1
92309614,9,WIN,slot0:Dudunsparce hp=80/140 prize=1 immune=False(None); slot1:Mega Froslass ex hp=310/310 prize=3 immune=False(None); slot2:Dunsparce hp=10/70 prize=1 immune=False(None),"{0: 6, 1: 0, 2: 0}",[],0,"{0: 0, 1: 0, 2: 6}",['Dunsparce'],1,1
92316974,7,LOSS,slot0:Froslass hp=60/90 prize=1 immune=False(None); slot1:Marnie's Impidimp hp=70/70 prize=1 immune=False(None); slot2:Marnie's Impidimp hp=70/70 prize=1 immune=False(None); slot3:Snorunt hp=70/70 prize=1 immune=False(None); slot4:Munkidori hp=100/110 prize=1 immune=False(None),"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",[],0,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",['Froslass'],1,1
92347825,15,WIN,slot0:Dudunsparce hp=140/140 prize=1 immune=False(None); slot1:Dudunsparce hp=140/140 prize=1 immune=False(None); slot2:Dunsparce hp=10/70 prize=1 immune=False(None),"{0: 6, 1: 0, 2: 0}",[],0,"{0: 0, 1: 0, 2: 6}",['Dunsparce'],1,1
92350502,8,WIN,slot0:Kadabra hp=70/80 prize=1 immune=False(None); slot1:Dunsparce hp=70/70 prize=1 immune=False(None); slot2:Abra hp=50/50 prize=1 immune=False(None); slot3:Dunsparce hp=70/70 prize=1 immune=False(None); slot4:Dunsparce hp=70/70 prize=1 immune=False(None),"{0: 2, 1: 0, 2: 4, 3: 0, 4: 0}",[],0,"{0: 0, 1: 0, 2: 5, 3: 0, 4: 1}",['Abra'],1,1
92350502,10,WIN,slot0:Alakazam hp=100/140 prize=1 immune=False(None); slot1:Abra hp=50/50 prize=1 immune=False(None),"{0: 2, 1: 4}",[],0,"{0: 0, 1: 6}",['Abra'],1,1
92355171,9,WIN,slot0:Shaymin hp=80/80 prize=1 immune=False(None); slot1:Dunsparce hp=70/70 prize=1 immune=False(None); slot2:Abra hp=50/50 prize=1 immune=False(None); slot3:Abra hp=50/50 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 4, 3: 2}",[],0,"{0: 0, 1: 0, 2: 0, 3: 6}",['Abra'],1,1
92355171,11,WIN,slot0:Shaymin hp=80/80 prize=1 immune=False(None); slot1:Dunsparce hp=70/70 prize=1 immune=False(None); slot2:Abra hp=30/50 prize=1 immune=False(None); slot3:Dunsparce hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 4, 2: 2, 3: 0}",[],0,"{0: 0, 1: 0, 2: 3, 3: 3}",['Abra'],1,1
92387111,20,LOSS,slot0:Crustle hp=150/150 prize=1 immune=True(self-ability (ex/tera-attacker immunity)); slot1:Dwebble hp=10/70 prize=1 immune=False(None); slot2:Dwebble hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 6}",[],0,"{1: 1, 2: 5}",['Dwebble'],1,1
92447449,9,LOSS,slot0:Kadabra hp=80/80 prize=1 immune=False(None); slot1:Dunsparce hp=60/60 prize=1 immune=False(None),"{0: 1, 1: 5}",[],0,"{0: 0, 1: 6}",['Dunsparce'],1,1
92447449,15,LOSS,slot0:Dudunsparce hp=140/140 prize=1 immune=False(None); slot1:Alakazam hp=140/140 prize=1 immune=False(None); slot2:Kadabra hp=80/80 prize=1 immune=False(None); slot3:Kadabra hp=80/80 prize=1 immune=False(None); slot4:Dunsparce hp=60/60 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 1, 3: 0, 4: 5}",[],0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 6}",['Dunsparce'],1,1
