f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,ref_pwin
6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,345.0,150.0,190.0,0.7894736842105263,0.0,3.0,3.0,0.0,1.0,3.0,150.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,220.0,110.0,0.0,0.0,5.0,36.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,90.0,110.0,0.8181818181818182,0.0,2.0,2.0,0.0,0.0,1.0,110.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,450.0,90.0,0.0,0.0,6.0,31.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43846634
8.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,190.0,300.0,300.0,1.0,0.0,4.0,4.0,0.0,1.0,2.0,300.0,2.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,4.0,360.0,90.0,4.0,1.0,1.0,23.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,310.0,320.0,0.96875,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,610.0,152.5,3.0,0.0,6.0,15.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39727783
12.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,646.0,70.0,70.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,70.0,1.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,380.0,95.0,2.0,0.0,7.0,21.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,80.0,140.0,0.5714285714285714,0.0,6.0,3.0,0.0,0.0,3.0,140.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,430.0,107.5,2.0,0.0,6.0,26.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033098
3.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,235.0,30.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,270.0,90.0,1.0,0.0,3.0,38.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,130.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,130.0,-1.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,140.0,70.0,0.0,0.0,6.0,41.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5528069
7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,0.0,0.0,849.0,330.0,330.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,330.0,6.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,580.0,145.0,0.0,0.0,12.0,26.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,3.0,370.0,123.33333333333333,0.0,0.0,3.0,27.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83116513
7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,7.0,0.0,1.0,9.0,0.0,0.0,742.0,80.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,70.0,70.0,0.0,0.0,2.0,42.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,300.0,320.0,0.9375,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,590.0,118.0,0.0,0.0,6.0,17.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08270272
13.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,112.0,110.0,110.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,110.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,430.0,107.5,1.0,0.0,12.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,100.0,170.0,0.5882352941176471,0.0,3.0,3.0,0.0,1.0,3.0,150.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,170.0,170.0,1.0,0.0,8.0,24.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9039805
7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1264.0,7.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,861.0,100.0,310.0,0.3225806451612903,0.0,2.0,2.0,1.0,1.0,1.0,310.0,8.0,-1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,210.0,70.0,0.0,0.0,2.0,31.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,700.0,140.0,2.0,0.0,5.0,23.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22237048
8.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1245.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,820.0,164.0,2.0,0.0,7.0,6.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,70.0,80.0,0.875,0.0,1.0,1.0,0.0,1.0,2.0,80.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,410.0,82.0,0.0,2.0,7.0,23.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12695186
4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1266.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,675.0,100.0,110.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,110.0,1.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,300.0,100.0,0.0,0.0,4.0,35.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,50.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,50.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,50.0,1.0,0.0,4.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4023455
9.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1252.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,121.0,140.0,290.0,0.4827586206896552,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,400.0,100.0,2.0,0.0,4.0,15.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,90.0,110.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,1.0,110.0,1.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,580.0,145.0,5.0,0.0,6.0,10.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8876519
16.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,380.0,95.0,2.0,0.0,4.0,9.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,190.0,190.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,150.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08170963
8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,3.0,370.0,123.33333333333333,1.0,0.0,7.0,22.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,320.0,320.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,320.0,1.0,-1.0,7.0,2.0,1.0,0.0,0.0,0.0,4.0,390.0,97.5,3.0,0.0,2.0,34.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5767135
3.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,1261.0,0.0,1.0,1.0,7.0,1.0,1.0,6.0,0.0,0.0,150.0,330.0,330.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,330.0,2.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,610.0,122.0,3.0,0.0,3.0,33.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,240.0,60.0,0.0,0.0,5.0,40.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919677
4.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,7.0,1.0,1.0,5.0,0.0,0.0,678.0,340.0,340.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,340.0,5.0,-1.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,790.0,158.0,3.0,0.0,7.0,22.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,400.0,100.0,0.0,0.0,6.0,30.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665036
7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1242.0,0.0,1.0,1.0,7.0,0.0,1.0,7.0,0.0,0.0,646.0,70.0,70.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,70.0,1.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,390.0,78.0,1.0,0.0,3.0,30.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,300.0,300.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,300.0,6.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,470.0,235.0,1.0,0.0,11.0,29.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80894417
10.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1246.0,0.0,1.0,1.0,7.0,1.0,1.0,6.0,0.0,0.0,121.0,280.0,320.0,0.875,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,800.0,160.0,4.0,0.0,7.0,10.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,120.0,320.0,0.375,0.0,1.0,1.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,2.0,170.0,85.0,1.0,0.0,8.0,30.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79007477
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,756.0,300.0,300.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,300.0,6.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,70.0,0.0,0.0,10.0,41.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,170.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,6.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,320.0,106.66666666666667,1.0,0.0,7.0,40.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31645176
8.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1246.0,0.0,1.0,1.0,7.0,2.0,2.0,3.0,0.0,0.0,163.0,120.0,120.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,120.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,870.0,174.0,1.0,0.0,4.0,31.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,520.0,130.0,2.0,0.0,2.0,25.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538467
8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,235.0,30.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,780.0,156.0,2.0,0.0,5.0,29.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,40.0,60.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,60.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,125.0,2.0,0.0,10.0,33.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63433725
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1259.0,0.0,1.0,1.0,16.0,1.0,1.0,2.0,0.0,0.0,646.0,50.0,70.0,0.7142857142857143,0.0,1.0,1.0,0.0,0.0,1.0,70.0,1.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,320.0,80.0,1.0,0.0,5.0,37.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,30.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,220.0,73.33333333333333,1.0,0.0,7.0,30.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41753492
4.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1264.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,849.0,330.0,330.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,330.0,6.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,140.0,70.0,0.0,1.0,8.0,31.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,280.0,280.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,280.0,1.0,-1.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,480.0,160.0,0.0,0.0,3.0,36.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517278
8.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,690.0,138.0,1.0,0.0,8.0,16.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,320.0,320.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,320.0,1.0,-1.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,80.0,40.0,3.0,0.0,6.0,34.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88883823
0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,9.0,41.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52970964
15.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1255.0,0.0,1.0,1.0,7.0,1.0,1.0,2.0,0.0,0.0,121.0,250.0,320.0,0.78125,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,520.0,130.0,2.0,0.0,15.0,13.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,70.0,70.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,70.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,310.0,77.5,0.0,0.0,5.0,19.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97580963
2.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,673.0,180.0,180.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,80.0,5.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,220.0,110.0,0.0,0.0,4.0,41.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,70.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,-1.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,140.0,70.0,0.0,0.0,4.0,45.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25895116
