level,archetype_or_matchup,games_first,wins_first,wr_first,wilson_lo_first,wilson_hi_first,games_second,wins_second,wr_second,wilson_lo_second,wilson_hi_second,advantage,advantage_ci_lo,advantage_ci_hi,credible
MATCHUP,Marnie's Grimmsnarl ex vs Cynthia's Garchomp ex,51,28,0.5490196078431373,0.41384708550368815,0.6773248145062598,47,14,0.2978723404255319,0.18651250504604838,0.4397767391904607,0.2511472674176054,0.062087169373205575,0.44020736546200523,True
MATCHUP,Marnie's Grimmsnarl ex vs Dragapult ex,43,17,0.3953488372093023,0.2636531475829745,0.5442093693712609,33,13,0.3939393939393939,0.2468310743447709,0.5631655918005978,0.0014094432699083836,-0.22028442315786434,0.2231033096976811,False
MATCHUP,Marnie's Grimmsnarl ex vs Fezandipiti ex,210,128,0.6095238095238096,0.5421392213087839,0.6729734151915637,207,99,0.4782608695652174,0.41122950343754655,0.5460843946433148,0.13126293995859217,0.03647681704733813,0.22604906286984622,True
MATCHUP,Marnie's Grimmsnarl ex vs Marnie's Grimmsnarl ex,462,251,0.5432900432900433,0.4976976381424618,0.5881684848541096,462,211,0.45670995670995673,0.4118315151458904,0.5023023618575382,0.08658008658008653,0.022344127332476635,0.15081604582769642,True
MATCHUP,Marnie's Grimmsnarl ex vs Mega Kangaskhan ex,98,45,0.45918367346938777,0.3639269457294811,0.5575195840763703,112,50,0.44642857142857145,0.3576604807226865,0.5387496636059147,0.012755102040816313,-0.12219150633257345,0.14770171041420607,False
MATCHUP,Marnie's Grimmsnarl ex vs Mega Lopunny ex,62,31,0.5,0.3792274119456608,0.6207725880543392,36,11,0.3055555555555556,0.1800445159482992,0.4685627285051034,0.19444444444444442,-0.0008299695287039,0.38971885841759274,False
MATCHUP,Marnie's Grimmsnarl ex vs Teal Mask Ogerpon ex,40,8,0.2,0.10499989725437703,0.34757306346399497,37,6,0.16216216216216217,0.07651207234011151,0.3113648370093497,0.03783783783783784,-0.13383579934660497,0.20951147502228065,False
MATCHUP,Marnie's Grimmsnarl ex vs Team Rocket's Mewtwo ex,74,46,0.6216216216216216,0.5077145897601354,0.7235246530893923,60,34,0.5666666666666667,0.44103438776125564,0.6842760319531322,0.05495495495495495,-0.11217242242019104,0.22208233233010094,False
MATCHUP,Mega Kangaskhan ex vs Fezandipiti ex,70,39,0.5571428571428572,0.44083551053187997,0.6675047109069467,90,38,0.4222222222222222,0.3254240646742608,0.5253881437468566,0.13492063492063494,-0.019846339169903665,0.2896876090111735,False
MATCHUP,Mega Kangaskhan ex vs Marnie's Grimmsnarl ex,112,62,0.5535714285714286,0.46125033639408536,0.6423395192773135,98,53,0.5408163265306123,0.4424804159236297,0.6360730542705189,0.012755102040816313,-0.12219150633257345,0.14770171041420607,False
MATCHUP,Mega Lopunny ex vs Marnie's Grimmsnarl ex,36,25,0.6944444444444444,0.5314372714948966,0.8199554840517008,62,31,0.5,0.3792274119456608,0.6207725880543392,0.19444444444444442,-0.0008299695287039,0.38971885841759274,False
MATCHUP,Teal Mask Ogerpon ex vs Marnie's Grimmsnarl ex,37,31,0.8378378378378378,0.6886351629906503,0.9234879276598885,40,32,0.8,0.6524269365360051,0.895000102745623,0.037837837837837784,-0.133835799346605,0.20951147502228057,False
MATCHUP,Team Rocket's Mewtwo ex vs Fezandipiti ex,52,41,0.7884615384615384,0.6596789537149543,0.8775562946751251,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,0.06118881118881114,-0.126988322779301,0.24936594515692329,False
MATCHUP,Team Rocket's Mewtwo ex vs Marnie's Grimmsnarl ex,60,26,0.43333333333333335,0.31572396804686764,0.5589656122387443,74,28,0.3783783783783784,0.2764753469106077,0.4922854102398646,0.05495495495495495,-0.11217242242019104,0.22208233233010094,False
