counter_id,counter_archetype,target_archetype,candidate_date,detection_date,historical_games,historical_win_rate,historical_wilson_lower,target_meta_share_at_detection,counter_meta_share_at_detection,full_dataset_games,oos_status,oos_detail,oos_primary_horizon_games,oos_primary_horizon_wins,oos_primary_horizon_win_rate,oos_primary_horizon_wilson_lo,confirmation_date,failure_date,target_current_meta_share,target_current_relevance_tier,counter_current_meta_share,status,expired_reason
Marnie's Grimmsnarl ex -> Mega Kangaskhan ex,Marnie's Grimmsnarl ex,Mega Kangaskhan ex,,,,,,,,210,,,,,,,,,0.0951,MEDIUM,0.4347,UNKNOWN,
Mega Lopunny ex -> Mega Kangaskhan ex,Mega Lopunny ex,Mega Kangaskhan ex,,,,,,,,31,,,,,,,,,0.0951,MEDIUM,0.0943,UNKNOWN,
Team Rocket's Mewtwo ex -> Mega Kangaskhan ex,Team Rocket's Mewtwo ex,Mega Kangaskhan ex,,,,,,,,34,,,,,,,,,0.0951,MEDIUM,0.0294,UNKNOWN,
Fezandipiti ex -> Mega Lopunny ex,Fezandipiti ex,Mega Lopunny ex,,,,,,,,46,,,,,,,,,0.0943,MEDIUM,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Mega Lopunny ex,Marnie's Grimmsnarl ex,Mega Lopunny ex,,,,,,,,98,,,,,,,,,0.0943,MEDIUM,0.4347,UNKNOWN,
Mega Kangaskhan ex -> Mega Lopunny ex,Mega Kangaskhan ex,Mega Lopunny ex,,,,,,,,31,,,,,,,,,0.0943,MEDIUM,0.0951,UNKNOWN,
Teal Mask Ogerpon ex -> Mega Lopunny ex,Teal Mask Ogerpon ex,Mega Lopunny ex,,,,,,,,29,,,,,,,,,0.0943,MEDIUM,0.0717,UNKNOWN,
Fezandipiti ex -> Mega Lucario ex,Fezandipiti ex,Mega Lucario ex,,,,,,,,22,,,,,,,,,0.0223,LOW,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Mega Lucario ex,Marnie's Grimmsnarl ex,Mega Lucario ex,,,,,,,,30,,,,,,,,,0.0223,LOW,0.4347,UNKNOWN,
Fezandipiti ex -> Teal Mask Ogerpon ex,Fezandipiti ex,Teal Mask Ogerpon ex,,,,,,,,38,,,,,,,,,0.0717,MEDIUM,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,,,,,,,,77,,,,,,,,,0.0717,MEDIUM,0.4347,UNKNOWN,
Mega Lopunny ex -> Teal Mask Ogerpon ex,Mega Lopunny ex,Teal Mask Ogerpon ex,,,,,,,,29,,,,,,,,,0.0717,MEDIUM,0.0943,UNKNOWN,
Cynthia's Garchomp ex -> Team Rocket's Mewtwo ex,Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,,,,,,,,23,,,,,,,,,0.0294,LOW,0.0275,UNKNOWN,
Fezandipiti ex -> Team Rocket's Mewtwo ex,Fezandipiti ex,Team Rocket's Mewtwo ex,,,,,,,,85,,,,,,,,,0.0294,LOW,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Team Rocket's Mewtwo ex,Marnie's Grimmsnarl ex,Team Rocket's Mewtwo ex,2026-07-24,2026-07-25,61.0,0.7213,0.5983,0.0908,0.2618,134,OOS_FAILED,COLLAPSED_BELOW_50PCT,25.0,11.0,0.44,0.2667,,2026-07-27,0.0294,LOW,0.4347,OOS_FAILED,
Mega Kangaskhan ex -> Team Rocket's Mewtwo ex,Mega Kangaskhan ex,Team Rocket's Mewtwo ex,,,,,,,,34,,,,,,,,,0.0294,LOW,0.0951,UNKNOWN,
