counter_archetype,target_archetype,date,games_before,wins_before,win_rate_before,wilson_lo_before,target_meta_share_14d,counter_meta_share_14d,stat_gate_pass,full_gate_pass,consecutive_full_gate_passes,is_candidate_date,is_detection_date
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-13,14,6,0.4286,0.2138,0.1809,0.0598,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-14,16,7,0.4375,0.231,0.2065,0.0593,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-15,16,7,0.4375,0.231,0.2325,0.0531,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-16,16,7,0.4375,0.231,0.2471,0.0501,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-17,19,9,0.4737,0.2733,0.2584,0.0518,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-18,22,11,0.5,0.3072,0.2763,0.0527,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-19,25,12,0.48,0.3003,0.286,0.0551,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-20,29,15,0.5172,0.3443,0.2966,0.0553,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-21,32,16,0.5,0.3363,0.3024,0.0562,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-22,38,18,0.4737,0.3248,0.3175,0.0549,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-23,39,18,0.4615,0.3157,0.324,0.0534,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-24,43,19,0.4419,0.3043,0.3267,0.0573,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-25,43,19,0.4419,0.3043,0.3138,0.0567,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-26,46,21,0.4565,0.3215,0.3021,0.0616,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-27,47,22,0.4681,0.3333,0.2942,0.0611,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-28,47,22,0.4681,0.3333,0.2736,0.061,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-29,47,22,0.4681,0.3333,0.2481,0.0614,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-30,47,22,0.4681,0.3333,0.2273,0.0603,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-31,48,23,0.4792,0.3447,0.2138,0.0571,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-01,48,23,0.4792,0.3447,0.1928,0.0554,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-02,51,23,0.451,0.3227,0.1793,0.0546,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-03,51,23,0.451,0.3227,0.1601,0.0526,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-04,52,23,0.4423,0.3159,0.1484,0.0536,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-05,54,23,0.4259,0.3033,0.141,0.0506,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-06,54,23,0.4259,0.3033,0.1403,0.0458,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-07,55,24,0.4364,0.3137,0.1355,0.0396,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-08,55,24,0.4364,0.3137,0.1379,0.0379,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-09,56,25,0.4464,0.3239,0.1432,0.0307,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-08-10,56,25,0.4464,0.3239,0.1425,0.0294,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-16,0,0,0.0,0.0,,,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-17,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-18,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-19,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-20,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-21,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-22,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-23,0,0,0.0,0.0,0.0,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-24,0,0,0.0,0.0,0.0,0.0026,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-25,0,0,0.0,0.0,0.0,0.0023,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-26,0,0,0.0,0.0,0.0,0.0022,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-27,0,0,0.0,0.0,0.0,0.0019,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-28,0,0,0.0,0.0,0.0,0.0018,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-29,0,0,0.0,0.0,0.0,0.0032,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-06-30,0,0,0.0,0.0,0.0,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-01,0,0,0.0,0.0,0.0043,0.0071,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-02,0,0,0.0,0.0,0.0135,0.0075,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-03,0,0,0.0,0.0,0.042,0.0101,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-04,1,0,0.0,0.0,0.05,0.0118,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-05,2,1,0.5,0.0945,0.0826,0.0147,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-06,3,2,0.6667,0.2077,0.1024,0.0208,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-07,4,2,0.5,0.15,0.1284,0.0242,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-08,7,4,0.5714,0.2505,0.146,0.0388,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-09,9,6,0.6667,0.3542,0.1686,0.0508,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-10,11,6,0.5455,0.2801,0.168,0.0557,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-11,12,7,0.5833,0.3195,0.1798,0.0581,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-12,12,7,0.5833,0.3195,0.1781,0.0599,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-13,12,7,0.5833,0.3195,0.1809,0.0598,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-14,12,7,0.5833,0.3195,0.1847,0.0593,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-15,12,7,0.5833,0.3195,0.1844,0.0531,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-16,13,7,0.5385,0.2914,0.1827,0.0501,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-17,14,8,0.5714,0.3259,0.1742,0.0518,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-18,16,8,0.5,0.28,0.1745,0.0527,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-19,19,11,0.5789,0.3628,0.1742,0.0551,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-20,26,16,0.6154,0.4253,0.1812,0.0553,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-21,30,19,0.6333,0.4551,0.1861,0.0562,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-22,32,21,0.6562,0.4831,0.1978,0.0549,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-23,36,23,0.6389,0.4757,0.2111,0.0534,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-24,44,29,0.6591,0.5114,0.2296,0.0573,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-25,50,29,0.58,0.4423,0.2618,0.0567,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-26,59,34,0.5763,0.4493,0.2944,0.0616,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-27,64,36,0.5625,0.4409,0.3219,0.0611,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-28,68,40,0.5882,0.4696,0.3552,0.061,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-29,71,41,0.5775,0.4615,0.3946,0.0614,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-30,71,41,0.5775,0.4615,0.4268,0.0603,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-07-31,74,43,0.5811,0.4674,0.4615,0.0571,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-01,76,45,0.5921,0.4798,0.4873,0.0554,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-02,79,46,0.5823,0.4722,0.4985,0.0546,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-03,82,48,0.5854,0.4773,0.5084,0.0526,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-04,90,51,0.5667,0.4636,0.5052,0.0536,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-05,92,52,0.5652,0.4633,0.5071,0.0506,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-06,93,52,0.5591,0.4579,0.5026,0.0458,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-07,94,52,0.5532,0.4526,0.5019,0.0396,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-08,95,53,0.5579,0.4577,0.485,0.0379,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-09,96,54,0.5625,0.4628,0.4726,0.0307,False,False,0,False,False
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,2026-08-10,97,55,0.567,0.4677,0.4566,0.0294,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-16,0,0,0.0,0.0,,,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-17,0,0,0.0,0.0,0.0455,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-18,0,0,0.0,0.0,0.0114,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-19,0,0,0.0,0.0,0.0152,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-20,0,0,0.0,0.0,0.0116,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-21,0,0,0.0,0.0,0.0087,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-22,0,0,0.0,0.0,0.0072,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-23,0,0,0.0,0.0,0.006,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-24,0,0,0.0,0.0,0.0052,0.0026,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-25,0,0,0.0,0.0,0.0069,0.0023,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-26,0,0,0.0,0.0,0.0086,0.0022,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-27,0,0,0.0,0.0,0.0077,0.0019,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-28,0,0,0.0,0.0,0.007,0.0018,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-29,0,0,0.0,0.0,0.0063,0.0032,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-06-30,0,0,0.0,0.0,0.006,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-01,0,0,0.0,0.0,0.0043,0.0071,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-02,0,0,0.0,0.0,0.0075,0.0075,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-03,0,0,0.0,0.0,0.0058,0.0101,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-04,0,0,0.0,0.0,0.0074,0.0118,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-05,1,1,1.0,0.2065,0.0147,0.0147,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-06,1,1,1.0,0.2065,0.0208,0.0208,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-07,2,2,1.0,0.3424,0.0287,0.0242,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-08,4,2,0.5,0.15,0.0491,0.0388,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-09,5,2,0.4,0.1176,0.0624,0.0508,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-10,6,3,0.5,0.1876,0.0759,0.0557,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-11,6,3,0.5,0.1876,0.0899,0.0581,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-12,6,3,0.5,0.1876,0.1087,0.0599,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-13,7,3,0.4286,0.1582,0.1252,0.0598,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-14,9,4,0.4444,0.1888,0.1366,0.0593,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-15,9,4,0.4444,0.1888,0.1466,0.0531,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-16,9,4,0.4444,0.1888,0.1515,0.0501,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-17,11,6,0.5455,0.2801,0.1604,0.0518,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-18,12,7,0.5833,0.3195,0.1563,0.0527,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-19,15,10,0.6667,0.4171,0.1607,0.0551,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-20,15,10,0.6667,0.4171,0.1528,0.0553,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-21,17,11,0.6471,0.413,0.1494,0.0562,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-22,19,13,0.6842,0.4601,0.1459,0.0549,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-23,22,14,0.6364,0.4295,0.1428,0.0534,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-24,26,16,0.6154,0.4253,0.134,0.0573,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-25,27,16,0.5926,0.4073,0.1276,0.0567,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-26,29,17,0.5862,0.4074,0.115,0.0616,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-27,30,17,0.5667,0.392,0.1042,0.0611,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-28,31,17,0.5484,0.3777,0.0988,0.061,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-29,31,17,0.5484,0.3777,0.0948,0.0614,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-30,32,17,0.5312,0.3645,0.0943,0.0603,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-07-31,32,17,0.5312,0.3645,0.0887,0.0571,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-01,33,18,0.5455,0.3799,0.09,0.0554,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-02,36,18,0.5,0.3447,0.086,0.0546,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-03,36,18,0.5,0.3447,0.0864,0.0526,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-04,37,18,0.4865,0.3345,0.087,0.0536,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-05,37,18,0.4865,0.3345,0.0855,0.0506,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-06,37,18,0.4865,0.3345,0.087,0.0458,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-07,38,18,0.4737,0.3248,0.0904,0.0396,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-08,40,18,0.45,0.3071,0.0926,0.0379,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-09,40,18,0.45,0.3071,0.0971,0.0307,False,False,0,False,False
Cynthia's Garchomp ex,Mega Kangaskhan ex,2026-08-10,40,18,0.45,0.3071,0.0984,0.0294,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-16,0,0,0.0,0.0,,,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-17,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-18,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-19,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-20,0,0,0.0,0.0,0.0,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-21,0,0,0.0,0.0,0.0043,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-22,0,0,0.0,0.0,0.0072,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-23,0,0,0.0,0.0,0.0089,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-24,0,0,0.0,0.0,0.0078,0.0026,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-25,0,0,0.0,0.0,0.0069,0.0023,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-26,0,0,0.0,0.0,0.0065,0.0022,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-27,0,0,0.0,0.0,0.0096,0.0019,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-28,0,0,0.0,0.0,0.0088,0.0018,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-29,0,0,0.0,0.0,0.0095,0.0032,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-06-30,0,0,0.0,0.0,0.0089,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-01,0,0,0.0,0.0,0.0085,0.0071,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-02,0,0,0.0,0.0,0.009,0.0075,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-03,0,0,0.0,0.0,0.0087,0.0101,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-04,0,0,0.0,0.0,0.0088,0.0118,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-05,0,0,0.0,0.0,0.0103,0.0147,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-06,0,0,0.0,0.0,0.0104,0.0208,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-07,0,0,0.0,0.0,0.0091,0.0242,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-08,1,0,0.0,0.0,0.0116,0.0388,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-09,1,0,0.0,0.0,0.0104,0.0508,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-10,1,0,0.0,0.0,0.0111,0.0557,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-11,1,0,0.0,0.0,0.0112,0.0581,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-12,2,1,0.5,0.0945,0.0128,0.0599,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-13,2,1,0.5,0.0945,0.0153,0.0598,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-14,2,1,0.5,0.0945,0.0173,0.0593,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-15,2,1,0.5,0.0945,0.0175,0.0531,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-16,2,1,0.5,0.0945,0.0306,0.0501,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-17,2,1,0.5,0.0945,0.0368,0.0518,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-18,3,2,0.6667,0.2077,0.0404,0.0527,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-19,4,2,0.5,0.15,0.0455,0.0551,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-20,4,2,0.5,0.15,0.0522,0.0553,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-21,5,2,0.4,0.1176,0.0597,0.0562,False,False,0,False,False
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,2026-07-22,8,5,0.625,0.3057,0.0727,0.0549,False,False,0,False,False
