exact_deck_hash,exact_deck_list,archetype_id,archetype_name
08243e2321f0e11e,6:11;20:3;675:3;676:3;677:4;678:4;1102:4;1123:3;1141:4;1142:4;1152:4;1159:1;1182:3;1192:3;1227:4;1229:2,Mega Lucario ex,Mega Lucario ex
086aae342648ca9e,1:1;11:4;14:4;18:4;344:3;345:3;756:4;1086:2;1087:1;1121:1;1122:4;1123:1;1147:4;1159:1;1182:4;1186:3;1190:1;1197:1;1204:1;1219:4;1225:2;1227:4;1245:1;1257:2,Mega Kangaskhan ex,Mega Kangaskhan ex
0b80f6a47f968786,5:3;13:1;19:4;65:1;66:3;140:1;305:2;343:1;741:4;742:4;743:3;1079:3;1081:4;1086:4;1097:1;1129:1;1137:1;1152:4;1182:3;1184:1;1197:1;1225:4;1231:4;1264:2,Fezandipiti ex,Fezandipiti ex
0b99dec21056b2f3,11:4;12:1;19:4;65:4;66:3;304:2;878:4;879:3;1086:4;1097:3;1115:3;1122:4;1152:4;1171:4;1182:2;1197:2;1225:2;1227:4;1255:3,UNLABELED_CLUSTER_05,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax
0bf953f8612d58ea,1:6;89:4;90:4;93:4;100:2;149:4;240:2;1080:1;1086:4;1094:4;1097:2;1152:4;1174:2;1175:2;1182:2;1184:1;1191:1;1210:2;1211:1;1227:4;1245:4,UNLABELED_CLUSTER_19,Applin / Dipplin / Goldeen / Grookey / Seaking / Thwackey
0cba3f750cdde2c5,5:3;13:1;19:4;66:3;305:3;741:4;742:4;743:4;1079:3;1081:4;1086:4;1097:3;1129:1;1146:1;1152:4;1182:3;1184:1;1225:3;1231:4;1264:3,UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra
0d18cb26af1f820a,7:10;104:2;112:4;235:1;646:3;647:3;648:3;689:1;860:3;1079:3;1080:1;1086:3;1097:3;1152:4;1174:1;1182:3;1219:4;1227:4;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
0d2a3e2649f24fb1,3:12;58:1;66:2;305:2;343:2;506:4;1081:4;1086:4;1097:4;1120:4;1122:4;1123:1;1152:4;1197:2;1208:4;1227:4;1247:1;1264:1,UNLABELED_CLUSTER_66,Cubchoo / Dudunsparce / Dunsparce / Great Tusk / Shaymin
0d651d7ecc471d41,6:13;673:2;674:2;675:2;676:3;677:3;678:4;1102:4;1123:2;1141:4;1142:4;1152:4;1158:1;1182:2;1192:4;1227:4;1252:2,Mega Lucario ex,Mega Lucario ex
0e05ea288ae6e6a6,5:2;13:1;19:4;66:3;140:1;305:3;343:1;741:4;742:4;743:4;1079:3;1081:3;1086:4;1097:1;1129:1;1152:4;1182:2;1184:1;1197:2;1225:4;1231:4;1266:4,Fezandipiti ex,Fezandipiti ex
0e7a9c48c0fbb1bb,15:4;17:4;414:1;463:4;473:2;474:1;891:3;1077:4;1097:3;1134:4;1152:4;1175:2;1216:4;1217:4;1218:4;1219:4;1220:4;1247:1;1257:3,UNLABELED_CLUSTER_36,Team Rocket's Articuno / Team Rocket's Honchkrow / Team Rocket's Murkrow / Team Rocket's Porygon / Team Rocket's Porygon2
0e8ba7dfa2b3a1b7,3:7;6:1;117:1;414:1;666:2;860:3;861:3;1030:3;1031:3;1086:4;1118:1;1121:3;1122:3;1145:3;1159:1;1182:2;1189:1;1197:2;1224:1;1225:3;1227:4;1229:4;1262:4,UNLABELED_CLUSTER_12,Cornerstone Mask Ogerpon ex / Mega Froslass ex / Mega Starmie ex
0eb1f4f9633c4cd0,1:7;5:3;15:4;400:4;401:4;414:2;431:2;432:1;463:2;1094:3;1097:1;1119:2;1134:4;1152:4;1159:1;1216:4;1217:1;1218:3;1220:4;1227:2;1257:2,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex
0f8ded0dab3abdd6,8:14;57:2;169:4;190:4;414:1;1097:4;1121:4;1122:4;1152:4;1159:1;1182:4;1192:4;1213:2;1227:4;1244:4,UNLABELED_CLUSTER_02,Archaludon ex
0fb452788ceca249,1:9;3:2;4:2;5:2;6:2;63:2;96:3;108:1;140:1;184:2;272:1;756:4;1071:3;1088:1;1097:2;1098:2;1116:4;1121:4;1182:2;1197:1;1198:4;1205:2;1250:4,Mega Kangaskhan ex,Mega Kangaskhan ex
0fe5bb1f17b6b854,1:8;15:4;400:4;401:4;414:2;431:2;434:3;1086:1;1094:3;1121:1;1134:4;1152:4;1159:1;1175:1;1186:1;1216:3;1217:1;1218:3;1220:4;1227:3;1257:3,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex
101254ad244275c0,3:8;66:3;235:2;305:3;941:4;942:2;943:4;1079:4;1081:3;1086:4;1097:1;1104:1;1120:4;1122:2;1129:2;1152:4;1213:2;1227:4;1231:3,UNLABELED_CLUSTER_35,Budew / Dudunsparce / Dunsparce / Sealeo / Spheal / Walrein
102b0ac263351177,1:11;13:1;96:4;650:2;651:2;652:2;708:3;709:2;710:2;756:2;1094:4;1118:1;1122:2;1123:1;1145:2;1152:2;1182:1;1194:2;1197:1;1225:3;1229:4;1231:2;1261:4,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
102eedd09a52a911,6:13;673:2;674:2;675:2;676:3;677:3;678:4;1102:4;1123:3;1141:4;1142:4;1152:3;1159:1;1182:3;1192:4;1227:4;1252:1,Mega Lucario ex,Mega Lucario ex
104f0ed21c6e5b31,5:7;16:3;19:4;112:2;117:2;183:1;184:1;272:1;343:1;414:2;597:1;745:4;746:3;747:3;848:1;849:1;1079:1;1145:2;1152:4;1182:2;1194:3;1197:3;1227:4;1231:2;1249:1;1256:1,Mega Lopunny ex,Mega Lopunny ex
111d0a87c7071fde,1:17;93:2;96:4;140:1;149:1;150:2;346:1;709:1;710:2;917:2;918:1;1071:2;1080:1;1094:4;1097:1;1121:4;1152:1;1182:2;1184:1;1188:1;1227:4;1231:1;1261:4,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
11537082a1d27571,7:10;66:2;112:4;305:3;646:4;647:3;648:3;1079:4;1086:4;1097:2;1119:1;1139:1;1152:4;1159:1;1197:2;1227:4;1231:4;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
11b04dcb725c356f,6:10;20:4;117:2;675:2;676:3;677:4;678:4;1121:3;1123:2;1141:4;1142:4;1152:4;1159:1;1197:2;1213:2;1227:4;1229:4;1252:1,Mega Lucario ex,Mega Lucario ex
11b0a2d81e5449a3,5:2;13:1;19:4;66:3;140:1;305:3;741:4;742:4;743:3;1079:3;1081:3;1086:4;1097:1;1129:1;1137:1;1152:4;1156:2;1174:1;1182:2;1184:1;1225:4;1231:4;1264:4,Fezandipiti ex,Fezandipiti ex
13ea47d998aa99fa,11:4;13:1;14:3;66:4;174:1;305:4;848:4;849:3;1086:4;1121:4;1122:4;1152:4;1174:4;1182:4;1225:4;1227:4;1229:4,Mega Lopunny ex,Mega Lopunny ex
1461973842ae99c3,5:1;13:1;19:4;65:3;66:3;140:1;142:1;214:1;222:1;741:4;742:4;743:3;959:1;1079:3;1081:2;1086:4;1129:1;1152:4;1156:1;1161:1;1174:1;1182:3;1184:1;1225:3;1231:4;1264:4,Fezandipiti ex,Fezandipiti ex
147595d71b360f2c,1:1;11:4;14:4;18:4;344:3;345:3;756:4;1086:4;1087:1;1121:1;1122:3;1123:2;1147:4;1159:1;1182:4;1186:2;1197:1;1212:1;1219:4;1225:3;1227:4;1242:1;1257:1,Mega Kangaskhan ex,Mega Kangaskhan ex
14833e9b4c2389a3,1:7;89:4;90:4;92:4;93:4;140:1;1080:1;1086:4;1094:4;1097:2;1122:4;1129:1;1137:1;1152:4;1175:3;1211:2;1227:4;1231:2;1245:4,Fezandipiti ex,Fezandipiti ex
14db4b34cc8fbbb7,1:1;11:4;14:4;18:4;344:4;345:4;756:4;1086:4;1087:2;1122:4;1123:4;1147:4;1159:1;1182:2;1197:4;1225:4;1227:4;1264:2,Mega Kangaskhan ex,Mega Kangaskhan ex
156485fe400622e4,8:13;57:2;169:4;190:4;414:1;1097:4;1121:4;1122:4;1152:4;1159:1;1182:4;1192:4;1197:1;1213:2;1227:4;1244:4,UNLABELED_CLUSTER_02,Archaludon ex
157ad0f02530292c,3:29;721:4;722:4;723:4;1121:4;1126:1;1145:2;1163:1;1192:4;1227:4;1262:3,Mega Abomasnow ex,Mega Abomasnow ex
15b2a18ec6e238e1,8:15;57:1;169:4;190:4;666:4;1097:3;1121:4;1122:4;1147:4;1152:4;1159:1;1185:4;1227:4;1244:4,UNLABELED_CLUSTER_02,Archaludon ex
16122d69e068716f,7:14;112:4;646:4;647:2;648:4;649:2;1079:4;1080:1;1086:4;1097:2;1152:4;1182:1;1197:2;1227:4;1231:4;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
16545c60396b882b,5:3;13:1;19:4;66:2;140:1;305:3;343:1;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:1;1129:1;1152:4;1182:3;1184:1;1197:3;1225:4;1231:4,Fezandipiti ex,Fezandipiti ex
1659ede5d05ada54,2:6;119:2;120:2;140:1;202:1;344:3;345:2;352:4;353:4;354:3;1079:2;1086:4;1092:1;1097:2;1121:3;1122:1;1123:1;1152:2;1175:2;1182:2;1184:1;1191:2;1213:2;1215:4;1227:1;1256:1;1264:1,Fezandipiti ex,Fezandipiti ex
16eb558bab120cba,7:10;104:2;112:4;646:4;647:3;648:3;860:2;1079:4;1080:1;1086:4;1097:2;1152:4;1182:3;1197:2;1202:1;1219:4;1227:3;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
1780347646b3b151,5:2;13:1;19:3;66:4;174:1;214:1;305:4;343:1;741:4;742:3;743:4;959:1;1079:4;1081:2;1086:4;1097:2;1129:1;1146:1;1152:4;1182:2;1224:1;1225:3;1231:3;1264:4,UNLABELED_CLUSTER_47,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin / Togekiss / Togepi
17d163ba9b2ec58c,1:5;42:1;73:1;74:1;89:4;90:3;91:1;93:4;100:2;149:3;240:1;343:1;1086:4;1092:1;1094:3;1097:2;1152:4;1174:2;1175:2;1182:2;1184:1;1191:1;1211:1;1227:4;1231:2;1245:4,UNLABELED_CLUSTER_30,Applin / Dipplin / Goldeen / Grookey / Rabsca / Rellor / Rillaboom / Seaking / Shaymin / Thwackey
17e0e94afdf4984b,1:7;15:4;400:4;401:4;414:2;431:2;434:3;1080:1;1086:1;1094:3;1121:2;1134:4;1152:4;1175:1;1216:4;1217:1;1218:3;1220:4;1227:3;1257:3,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex
18b76759876ddefa,11:4;19:4;304:2;311:3;878:4;879:4;1092:1;1097:1;1115:4;1122:4;1134:4;1152:3;1171:4;1182:2;1219:4;1225:4;1227:4;1255:4,UNLABELED_CLUSTER_10,Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax
19a01ac1cebb1e8b,11:4;13:1;14:3;66:4;174:1;305:4;848:4;849:3;1086:4;1121:4;1122:4;1152:4;1174:4;1182:3;1197:1;1225:4;1227:4;1229:4,Mega Lopunny ex,Mega Lopunny ex
19e9a6845fd135a0,5:2;13:1;19:4;66:2;140:1;305:3;741:4;742:4;743:4;1079:4;1081:3;1086:4;1097:1;1129:1;1146:1;1152:4;1182:3;1184:1;1197:2;1225:4;1231:4;1264:3,Fezandipiti ex,Fezandipiti ex
1a0c457584213a4b,5:2;13:1;19:4;65:3;66:3;140:1;174:1;214:1;343:1;741:4;742:4;743:4;880:1;959:1;1079:3;1081:2;1086:4;1097:2;1129:1;1146:1;1152:4;1182:3;1184:1;1225:4;1231:4,Fezandipiti ex,Fezandipiti ex
1a151591a6ec4386,5:3;13:1;19:4;66:3;305:3;741:4;742:4;743:4;1079:3;1081:2;1086:4;1097:4;1129:2;1152:4;1182:4;1225:3;1231:4;1264:4,UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra
1a6bef5759001c56,7:10;104:2;112:4;646:4;647:2;648:3;860:2;1079:3;1080:1;1086:4;1097:2;1137:1;1152:4;1161:1;1182:2;1197:3;1219:4;1227:4;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
1aab0237a6569b2c,5:3;13:1;19:4;66:3;140:1;305:3;741:4;742:4;743:4;1079:3;1081:4;1086:4;1097:1;1129:1;1137:1;1152:2;1182:2;1184:2;1197:3;1225:4;1231:4;1266:2,Fezandipiti ex,Fezandipiti ex
1b63cff39ca1b990,1:12;16:2;18:3;24:1;96:4;117:1;414:2;848:2;849:1;1094:4;1121:4;1122:3;1127:3;1147:2;1152:2;1159:1;1182:3;1201:1;1213:3;1227:4;1256:2,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
1b96d77f991ff5b1,6:13;673:2;674:2;675:2;676:3;677:3;678:4;1097:2;1102:3;1123:3;1141:4;1142:4;1152:4;1159:1;1182:2;1197:1;1224:1;1225:2;1227:4,Mega Lucario ex,Mega Lucario ex
1d0dee049c97c9e7,1:9;42:4;89:4;90:4;93:4;100:2;240:2;343:1;1080:1;1086:4;1094:4;1122:1;1129:1;1137:1;1152:4;1175:2;1182:2;1211:2;1227:4;1245:4,UNLABELED_CLUSTER_27,Applin / Dipplin / Goldeen / Grookey / Seaking / Shaymin / Thwackey
1d1ce49f8102bb10,1:6;89:4;90:4;91:1;93:4;100:1;149:4;235:1;1080:1;1086:4;1094:4;1097:1;1152:4;1174:2;1175:2;1182:2;1184:2;1211:2;1213:3;1227:4;1245:4,UNLABELED_CLUSTER_72,Applin / Budew / Dipplin / Goldeen / Grookey / Rillaboom / Thwackey
1d4926b966aa2486,6:10;20:3;675:2;676:3;677:4;678:4;1102:4;1123:3;1141:4;1142:4;1152:4;1159:1;1182:2;1192:3;1197:1;1227:4;1229:3;1252:1,Mega Lucario ex,Mega Lucario ex
1d74e3b00be01a64,1:12;3:1;12:1;16:1;18:4;96:4;117:1;414:2;848:1;849:1;1094:4;1121:3;1122:3;1127:3;1147:3;1152:3;1182:3;1201:1;1213:3;1227:4;1246:2,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
1e1aceae4b6358f6,1:9;15:4;400:4;401:4;414:2;431:2;434:3;1094:3;1121:1;1134:4;1152:4;1159:1;1175:1;1216:4;1217:1;1218:3;1220:4;1227:3;1257:3,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex
1e58a553d59975a3,1:9;15:4;343:1;400:4;401:4;414:2;431:2;434:2;1094:3;1121:1;1134:4;1152:4;1159:1;1216:4;1217:2;1218:3;1220:4;1227:3;1257:3,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex
1f8703b476d6d38a,1:16;18:4;96:4;1094:4;1118:2;1119:4;1122:4;1127:2;1137:1;1147:2;1159:1;1182:4;1201:1;1213:4;1223:1;1227:4;1251:2,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
200d57a432545513,7:10;104:2;112:4;646:4;647:3;648:3;860:2;1079:3;1080:1;1086:3;1097:3;1116:2;1152:4;1182:1;1213:2;1219:4;1227:4;1231:1;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
20627125ffab9207,5:2;13:1;19:4;66:2;140:1;305:3;343:1;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:1;1129:1;1152:4;1182:3;1184:1;1197:3;1225:4;1231:4;1266:1,Fezandipiti ex,Fezandipiti ex
20ba66c22462a120,1:15;11:4;14:4;18:4;344:4;345:4;1086:4;1120:2;1147:4;1152:2;1159:1;1212:4;1227:4;1235:4,UNLABELED_CLUSTER_06,Crustle / Dwebble
20bd60dc632d10b8,5:2;13:1;19:4;65:4;66:3;140:1;174:1;343:2;741:4;742:4;743:4;858:1;1079:3;1081:2;1086:4;1097:1;1129:1;1146:1;1152:4;1182:3;1184:1;1225:4;1231:3;1264:2,Fezandipiti ex,Fezandipiti ex
215bc19f41007af0,2:4;5:4;119:4;120:4;121:3;140:1;184:1;235:2;1071:1;1079:2;1080:1;1086:4;1097:2;1120:3;1121:4;1152:4;1156:1;1182:3;1198:4;1210:2;1227:4;1256:2,Dragapult ex,Dragapult ex
219bb78661ad6ccd,2:4;5:4;7:2;112:2;119:4;120:4;121:3;140:1;235:2;1071:1;1080:1;1086:4;1097:2;1120:3;1121:4;1152:4;1182:3;1197:1;1198:3;1213:1;1227:4;1231:1;1246:2,Dragapult ex,Dragapult ex
2209c374c5fe2353,5:6;11:3;12:1;19:4;304:2;305:2;311:1;878:4;879:4;1086:2;1097:3;1115:4;1122:4;1134:1;1152:2;1171:4;1182:2;1194:2;1197:1;1210:2;1219:2;1227:2;1255:2,UNLABELED_CLUSTER_57,Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax
22a47c5a1058b921,1:7;89:4;90:3;92:4;93:4;140:1;1080:1;1086:4;1094:4;1097:3;1122:4;1129:1;1137:1;1152:4;1175:3;1184:1;1197:1;1227:4;1231:2;1245:4,Fezandipiti ex,Fezandipiti ex
22d3f669e8184599,8:13;169:4;190:4;666:4;1097:4;1120:1;1121:4;1122:4;1147:3;1152:4;1159:1;1185:4;1197:2;1227:4;1244:4,UNLABELED_CLUSTER_02,Archaludon ex
22e465ba34de23db,5:1;13:1;19:4;66:3;140:1;305:3;343:1;741:4;742:4;743:3;1079:3;1081:3;1086:4;1097:1;1129:1;1137:1;1152:4;1182:3;1184:1;1197:2;1225:4;1231:4;1266:4,Fezandipiti ex,Fezandipiti ex
23b16a1d79ac3afc,5:3;19:4;66:3;140:1;305:4;741:4;742:4;743:4;1079:4;1081:2;1086:4;1097:3;1123:1;1129:1;1152:4;1182:3;1225:4;1231:4;1247:1;1264:2,Fezandipiti ex,Fezandipiti ex
247a5dc95aff7788,6:13;673:1;674:2;675:2;676:3;677:4;678:4;1102:4;1123:2;1141:4;1142:4;1152:4;1159:1;1182:2;1192:4;1227:4;1252:2,Mega Lucario ex,Mega Lucario ex
248f452e8b8aa953,8:14;169:4;190:4;666:4;1097:4;1121:4;1122:4;1147:2;1152:4;1159:1;1185:4;1197:2;1213:1;1227:4;1244:4,UNLABELED_CLUSTER_02,Archaludon ex
24d2f0bf0cee8dde,5:2;13:1;19:4;66:2;140:1;305:3;343:1;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:1;1129:1;1152:4;1182:2;1184:1;1197:2;1225:4;1231:4;1264:3,Fezandipiti ex,Fezandipiti ex
25cfcf0100ef1145,11:4;12:1;19:4;65:3;66:3;304:1;311:1;878:4;879:3;1086:4;1097:3;1115:3;1122:4;1152:4;1171:4;1182:2;1194:2;1210:2;1227:4;1255:4,UNLABELED_CLUSTER_22,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax
2603936f8d49f47b,2:4;5:3;7:1;112:1;119:4;120:4;121:3;131:2;132:2;133:1;140:1;235:1;791:1;1071:1;1080:1;1086:4;1097:2;1120:3;1121:4;1152:4;1182:3;1198:3;1227:4;1231:1;1256:2,Dragapult ex,Dragapult ex
2655572b2591c7f6,5:4;19:4;115:1;140:1;144:2;162:4;163:4;183:2;184:2;224:1;756:3;1071:1;1088:1;1097:4;1121:4;1123:1;1146:3;1152:4;1188:4;1194:1;1225:1;1227:4;1248:4,Mega Kangaskhan ex,Mega Kangaskhan ex
26bc83edcbd7dada,5:2;13:1;19:3;66:4;174:1;214:1;305:4;343:1;741:4;742:3;743:4;959:1;1079:4;1081:3;1086:4;1097:2;1129:1;1146:1;1152:4;1182:1;1224:1;1225:3;1231:3;1264:4,UNLABELED_CLUSTER_47,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin / Togekiss / Togepi
