archetype_id,archetype_name,representative_deck_hash,representative_deck_list,exact_deck_count,games,usage_share,wins,losses,win_rate,early_share,middle_share,recent_share,early_win_rate,middle_win_rate,recent_win_rate
UNLABELED_CLUSTER_02,Archaludon ex,2b3108749e2032d7,Archaludon ex x4; Basic {M} Energy x11; Boss’s Orders x4; Cinderace x4; Duraludon x4; Explorer’s Guidance x4; Full Metal Lab x4; Hero’s Cape x1; Jumbo Ice Cream x4; Lillie's Determination x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x4; Relicanth x1; Ultra Ball x4,33,124,1.776,55,69,0.4435,8.7174,1.7051,0.0752,0.4943,0.3235,0.3333
UNLABELED_CLUSTER_03,Mega Starmie ex,478924c6d1995606,Basic {W} Energy x9; Buddy-Buddy Poffin x4; Carmine x3; Deluxe Bomb x1; Dusclops x2; Dusknoir x2; Duskull x2; Hilda x4; Ignition Energy x4; Judge x3; Lillie's Determination x4; Mega Starmie ex x3; Poké Pad x4; Pokégear 3.0 x3; Staryu x4; Ultra Ball x4; Wally's Compassion x4,9,88,1.2604,40,48,0.4545,4.9098,1.9559,0.0,0.449,0.4615,
UNLABELED_CLUSTER_04,Cornerstone Mask Ogerpon ex,3371c6e0d2105401,Basic {D} Energy x3; Basic {F} Energy x1; Basic {G} Energy x3; Basic {W} Energy x1; Brock’s Scouting x4; Buddy-Buddy Poffin x4; Cornerstone Mask Ogerpon ex x2; Crispin x4; Crushing Hammer x1; Crustle x4; Dwebble x4; Grow Grass Energy x2; Hero’s Cape x1; Jumbo Ice Cream x4; Lillie's Determination x4; Munkidori x4; Poké Pad x4; Prism Energy x4; Team Rocket's Articuno x2; Urbain x4,11,80,1.1458,37,43,0.4625,1.3026,2.5075,0.4261,0.2308,0.54,0.4118
UNLABELED_CLUSTER_05,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax,cf54338b6b99acc3,Boss’s Orders x2; Brock’s Scouting x2; Buddy-Buddy Poffin x4; Colress’s Tenacity x2; Dudunsparce x3; Dunsparce x4; Hop's Phantump x4; Hop's Trevenant x2; Hop’s Bag x3; Hop’s Choice Band x4; Hop’s Snorlax x2; Legacy Energy x1; Lillie's Determination x4; Mist Energy x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x4; Postwick x4; Telepath Psychic Energy x4,13,76,1.0885,37,39,0.4868,7.6152,0.0,0.0,0.4868,,
UNLABELED_CLUSTER_06,Crustle / Dwebble,59aefb1a7dfb20a9,Basic {G} Energy x19; Buddy-Buddy Poffin x4; Cook x4; Crustle x4; Dwebble x4; Grow Grass Energy x4; Hero’s Cape x1; Jumbo Ice Cream x4; Lillie's Determination x4; Mist Energy x4; Spiky Energy x4; Waitress x4,14,41,0.5872,18,23,0.439,4.1082,0.0,0.0,0.439,,
UNLABELED_CLUSTER_07,Mega Froslass ex / Mega Starmie ex,d19dd275a0b6998b,Basic {W} Energy x9; Boss’s Orders x2; Buddy-Buddy Poffin x4; Cheren x2; Cinderace x2; Hand Trimmer x2; Hero’s Cape x1; Hilda x3; Lillie's Determination x4; Mega Froslass ex x3; Mega Signal x3; Mega Starmie ex x3; Night Stretcher x1; Poké Pad x1; Pokégear 3.0 x3; Salvatore x2; Snorunt x3; Staryu x3; Surfing Beach x4; Wally's Compassion x3; Xerosic’s Machinations x2,11,39,0.5586,21,18,0.5385,1.002,1.2036,0.1253,0.6,0.5417,0.4
UNLABELED_CLUSTER_08,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Shaymin,d2e1bedcf0288b4f,Abra x4; Alakazam x1; Alakazam x3; Basic {P} Energy x2; Battle Cage x1; Boss’s Orders x3; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x2; Dunsparce x3; Enhanced Hammer x4; Enriching Energy x1; Hilda x4; Kadabra x4; Lana’s Aid x2; Night Stretcher x2; Poké Pad x4; Rare Candy x4; Sacred Ash x1; Shaymin x1; Telepath Psychic Energy x4; Xerosic’s Machinations x2,4,28,0.401,21,7,0.75,0.1002,1.3541,0.0,1.0,0.7407,
UNLABELED_CLUSTER_09,Applin / Dipplin / Grookey / Rabsca / Rellor / Shaymin / Thwackey,abf375974152bc4e,Air Balloon x2; Applin x4; Basic {G} Energy x5; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dawn x2; Dipplin x4; Festival Grounds x4; Grookey x4; Kieran x2; Lana’s Aid x1; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Rabsca x1; Rellor x1; Secret Box x1; Shaymin x1; Switch x1; Thwackey x4,2,23,0.3294,14,9,0.6087,0.0,0.652,0.2506,,0.6923,0.5
Mega Abomasnow ex,Mega Abomasnow ex,da2a64c2ecaab66a,Basic {W} Energy x35; Cyrano x2; Kyogre x2; Lillie's Determination x4; Maximum Belt x1; Mega Abomasnow ex x4; Mega Signal x4; Snover x4; Waitress x4,6,22,0.3151,11,11,0.5,2.2044,0.0,0.0,0.5,,
UNLABELED_CLUSTER_10,Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,6948b9208b17fad2,Boss’s Orders x2; Hilda x3; Hop's Phantump x4; Hop's Trevenant x4; Hop’s Bag x4; Hop’s Choice Band x4; Hop’s Cramorant x3; Hop’s Snorlax x2; Lillie's Determination x4; Mist Energy x4; Night Stretcher x1; Poké Pad x2; Pokégear 3.0 x4; Postwick x4; Secret Box x1; Team Rocket's Petrel x4; Team Rocket's Transceiver x4; Telepath Psychic Energy x4; Xerosic’s Machinations x2,3,22,0.3151,13,9,0.5909,2.2044,0.0,0.0,0.5909,,
UNLABELED_CLUSTER_11,Chandelure / Comfey / Lampent / Litwick / Shaymin,d9614beda9774552,Basic {P} Energy x4; Battle Cage x1; Boss’s Orders x3; Buddy-Buddy Poffin x4; Chandelure x3; Comfey x4; Crushing Hammer x4; Dawn x1; Energy Search x2; Enhanced Hammer x1; Eri x2; Gravity Gemstone x2; Hilda x3; Lampent x2; Lillie's Determination x4; Litwick x3; Neutralization Zone x1; Night Stretcher x2; Poké Pad x4; Rare Candy x1; Shaymin x1; Switch x1; Telepath Psychic Energy x4; Xerosic’s Machinations x3,2,20,0.2865,11,9,0.55,0.9018,0.5517,0.0,0.7778,0.3636,
UNLABELED_CLUSTER_12,Cornerstone Mask Ogerpon ex / Mega Froslass ex / Mega Starmie ex,495b41c6bf629ba8,Basic {F} Energy x1; Basic {W} Energy x8; Boss’s Orders x2; Buddy-Buddy Poffin x4; Cheren x2; Cinderace x2; Cornerstone Mask Ogerpon ex x1; Hand Trimmer x2; Hero’s Cape x1; Hilda x3; Lillie's Determination x4; Mega Froslass ex x3; Mega Signal x3; Mega Starmie ex x3; Pokégear 3.0 x3; Snorunt x3; Staryu x3; Surfing Beach x4; Ultra Ball x2; Wally's Compassion x4; Xerosic’s Machinations x2,6,19,0.2721,10,9,0.5263,0.0,0.5015,0.2256,,0.4,0.6667
Iono's (Bellibolt/Voltorb),Iono's (Bellibolt/Voltorb),bd3a5d98cf29cbc3,Basic {L} Energy x22; Buddy-Buddy Poffin x3; Canari x4; Energy Retrieval x1; Iono’s Bellibolt ex x3; Iono’s Kilowattrel x3; Iono’s Tadbulb x3; Iono’s Voltorb x3; Iono’s Wattrel x3; Levincia x3; Lillie's Determination x4; Max Rod x1; Night Stretcher x2; Poké Pad x2; Ultra Ball x3,1,15,0.2148,5,10,0.3333,1.503,0.0,0.0,0.3333,,
UNLABELED_CLUSTER_13,Applin / Dipplin / Grookey / Swirlix / Thwackey,37fabc1f62f64d07,Applin x4; Basic {G} Energy x6; Boss’s Orders x1; Brave Bangle x4; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Grookey x4; Lillie's Determination x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x2; Sacred Ash x1; Swirlix x4; Thwackey x4; Unfair Stamp x1; Xerosic’s Machinations x2,1,15,0.2148,9,6,0.6,0.0,0.4012,0.1754,,1.0,0.1429
UNLABELED_CLUSTER_14,Comfey / Shaymin / Yveltal,8ff1e185fabb8099,Acerola's Mischief x4; Basic {P} Energy x4; Boss’s Orders x4; Buddy-Buddy Poffin x4; Colress’s Tenacity x4; Comfey x4; Crushing Hammer x4; Lillie's Determination x4; Neutralization Zone x1; Night Stretcher x4; Poké Pad x4; Pokégear 3.0 x4; Prism Energy x4; Shaymin x1; Telepath Psychic Energy x4; Xerosic’s Machinations x4; Yveltal x2,2,14,0.2005,5,9,0.3571,0.1002,0.652,0.0,0.0,0.3846,
UNLABELED_CLUSTER_15,Applin / Dipplin / Genesect / Grookey / Rabsca / Rellor / Shaymin / Thwackey,61c5f1394e265863,Air Balloon x2; Applin x4; Basic {G} Energy x5; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Genesect x1; Grookey x4; Harlequin x1; Kieran x2; Lana’s Aid x1; Lillie's Determination x4; Morty’s Conviction x1; Night Stretcher x2; Poké Pad x4; Rabsca x1; Rellor x1; Shaymin x1; Thwackey x4; Unfair Stamp x1,1,12,0.1719,9,3,0.75,0.0,0.3511,0.1253,,0.7143,0.8
UNLABELED_CLUSTER_16,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Togekiss / Togepi,8417597ea8879a72,Abra x4; Alakazam x4; Basic {P} Energy x2; Battle Cage x3; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enhanced Hammer x3; Enriching Energy x1; Hilda x4; Kadabra x4; Lana’s Aid x1; Poké Pad x4; Rare Candy x4; Sacred Ash x2; Telepath Psychic Energy x4; Togekiss x1; Togepi x1; Wondrous Patch x1,2,11,0.1575,3,8,0.2727,0.6012,0.2508,0.0,0.3333,0.2,
UNLABELED_CLUSTER_17,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion,4164643d1cfb5694,Basic {G} Energy x4; Basic {R} Energy x8; Boss’s Orders x4; Carmine x2; Crustle x4; Dwebble x4; Ethan's Adventure x4; Ethan's Cyndaquil x4; Ethan's Quilava x4; Ethan's Typhlosion x4; Grow Grass Energy x4; Hero’s Cape x1; Jumbo Ice Cream x2; Lillie's Determination x4; Poké Pad x2; Rare Candy x2; Ultra Ball x3,4,11,0.1575,8,3,0.7273,1.1022,0.0,0.0,0.7273,,
UNLABELED_CLUSTER_18,Brambleghast / Bramblin / Comfey / Shaymin,7f6aeb19dceb3577,Basic {P} Energy x8; Brambleghast x2; Bramblin x3; Buddy-Buddy Poffin x4; Comfey x4; Crushing Hammer x3; Dangerous Laser x1; Energy Recycler x3; Enhanced Hammer x3; Hand Trimmer x2; Hilda x4; Lana’s Aid x2; Lillie's Determination x4; Night Stretcher x4; Poké Pad x4; Shaymin x1; Telepath Psychic Energy x4; Xerosic’s Machinations x4,3,11,0.1575,5,6,0.4545,0.0,0.5517,0.0,,0.4545,
UNLABELED_CLUSTER_19,Applin / Dipplin / Goldeen / Grookey / Seaking / Thwackey,0bf953f8612d58ea,Air Balloon x2; Applin x4; Basic {G} Energy x6; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x2; Brock’s Scouting x2; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Goldeen x2; Grookey x4; Kieran x1; Lana’s Aid x1; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Seaking x2; Thwackey x4; Unfair Stamp x1,5,9,0.1289,6,3,0.6667,0.4008,0.0,0.1253,0.5,,0.8
UNLABELED_CLUSTER_20,Crustle / Dwebble / Great Tusk / Terrakion,7c58f3915e31351e,Boss’s Orders x4; Buddy-Buddy Poffin x4; Colress’s Tenacity x2; Crustle x4; Dwebble x4; Explorer’s Guidance x4; Fighting Gong x4; Great Tusk x4; Jumbo Ice Cream x1; Lisia’s Appeal x2; Mist Energy x4; Neutralization Zone x1; Poké Pad x4; Pokégear 3.0 x4; Rock Fighting Energy x4; Switch x4; Terrakion x1; Ultra Ball x1; Xerosic’s Machinations x4,2,8,0.1146,3,5,0.375,0.4008,0.2006,0.0,0.25,0.5,
UNLABELED_CLUSTER_21,N’s Zoroark ex,b8e2515051817ff7,Basic {D} Energy x9; Boss’s Orders x4; Buddy-Buddy Poffin x4; Budew x1; Ciphermaniac’s Codebreaking x1; Cyrano x3; Janine’s Secret Art x1; Lillie's Determination x4; Munkidori x2; N's Zekrom x2; Night Stretcher x2; N’s Castle x3; N’s PP Up x4; N’s Reshiram x2; N’s Zoroark ex x4; N’s Zorua x4; Poké Pad x3; Punk Helmet x2; Ultra Ball x3; Unfair Stamp x1; Xerosic’s Machinations x1,3,8,0.1146,4,4,0.5,0.0,0.0502,0.1754,,0.0,0.5714
UNLABELED_CLUSTER_22,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,48dcbf6680fdded7,Boss’s Orders x3; Buddy-Buddy Poffin x4; Colress’s Tenacity x3; Dudunsparce x3; Dunsparce x3; Hop's Phantump x4; Hop's Trevenant x3; Hop’s Bag x4; Hop’s Choice Band x4; Hop’s Cramorant x2; Hop’s Snorlax x2; Lillie's Determination x4; Mist Energy x4; Neutralization Zone x1; Poké Pad x4; Pokégear 3.0 x3; Postwick x4; Switch x1; Telepath Psychic Energy x4,5,8,0.1146,5,3,0.625,0.8016,0.0,0.0,0.625,,
UNLABELED_CLUSTER_23,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra / Shaymin,7436a436fd90a94d,Abra x4; Alakazam x3; Basic {P} Energy x2; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x2; Dunsparce x3; Enhanced Hammer x3; Enriching Energy x1; Genesect x1; Handheld Fan x3; Hilda x4; Kadabra x4; Lana’s Aid x1; Nighttime Mine x4; Poké Pad x4; Rare Candy x3; Sacred Ash x2; Shaymin x1; Telepath Psychic Energy x4; Xerosic’s Machinations x1,3,7,0.1003,6,1,0.8571,0.7014,0.0,0.0,0.8571,,
UNLABELED_CLUSTER_24,Mega Froslass ex,e69858a31af3698a,Acerola's Mischief x3; Basic {W} Energy x6; Buddy-Buddy Poffin x4; Crushing Hammer x4; Dudunsparce x4; Dunsparce x4; Fan Rotom x2; Hilda x3; Legacy Energy x1; Lillie's Determination x4; Mega Froslass ex x4; Mega Signal x2; Poké Pad x4; Pokégear 3.0 x3; Snorunt x4; Switch x2; Team Rocket's Articuno x2; Wally's Compassion x4,1,6,0.0859,4,2,0.6667,0.1002,0.2508,0.0,1.0,0.6,
UNLABELED_CLUSTER_25,Cubchoo / Dudunsparce / Dunsparce / Munkidori / Team Rocket's Articuno,449ba799a24fb205,Basic {D} Energy x2; Basic {W} Energy x6; Battle Cage x2; Boss’s Orders x2; Buddy-Buddy Poffin x1; Colress’s Tenacity x1; Crushing Hammer x4; Cubchoo x4; Dudunsparce x2; Dunsparce x2; Energy Search x2; Enhanced Hammer x3; Gravity Gemstone x4; Lana’s Aid x2; Lillie's Determination x4; Munkidori x2; Neutralization Zone x1; Night Stretcher x1; Poké Pad x4; Pokégear 3.0 x4; Team Rocket's Articuno x1; Team Rocket's Petrel x4; Tool Scrapper x1; Xerosic’s Machinations x1,1,5,0.0716,2,3,0.4,0.0,0.2508,0.0,,0.4,
UNLABELED_CLUSTER_26,Applin / Celebi / Dipplin / Grookey / Thwackey,50f4fed941e7bd61,Applin x2; Applin x2; Basic {G} Energy x8; Boss’s Orders x2; Buddy-Buddy Poffin x4; Bug Catching Set x4; Celebi x4; Dipplin x4; Dusk Ball x1; Festival Grounds x4; Grookey x4; Hilda x3; Lillie's Determination x4; Night Stretcher x1; Poké Pad x4; Sacred Ash x1; Survival Brace x1; Thwackey x4; Xerosic’s Machinations x3,2,5,0.0716,2,3,0.4,0.0,0.0502,0.1003,,1.0,0.25
UNLABELED_CLUSTER_27,Applin / Dipplin / Goldeen / Grookey / Seaking / Shaymin / Thwackey,1d0dee049c97c9e7,Applin x4; Basic {G} Energy x9; Black Belt’s Training x2; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Goldeen x2; Grookey x4; Lillie's Determination x4; Poké Pad x4; Pokégear 3.0 x1; Sacred Ash x1; Seaking x2; Shaymin x1; Thwackey x4; Tool Scrapper x1; Unfair Stamp x1,2,5,0.0716,5,0,1.0,0.2004,0.0,0.0752,1.0,,1.0
UNLABELED_CLUSTER_28,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Shaymin / Togekiss / Togepi,c51189f519cd1c07,Abra x4; Alakazam x4; Basic {P} Energy x2; Battle Cage x3; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x3; Enhanced Hammer x3; Enriching Energy x1; Hilda x4; Kadabra x4; Lana’s Aid x1; Poké Pad x4; Rare Candy x4; Sacred Ash x2; Shaymin x1; Telepath Psychic Energy x4; Togekiss x1; Togepi x1; Wondrous Patch x1,2,4,0.0573,1,3,0.25,0.3006,0.0502,0.0,0.0,1.0,
UNLABELED_CLUSTER_29,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra,78424bb7b3831f69,Abra x4; Alakazam x4; Basic {P} Energy x1; Boss’s Orders x4; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enhanced Hammer x2; Enriching Energy x1; Fan Rotom x1; Hilda x3; Kadabra x4; Lana’s Aid x1; Night Stretcher x2; Nighttime Mine x4; Poké Pad x4; Rare Candy x3; Sacred Ash x1; Telepath Psychic Energy x4; Xerosic’s Machinations x2,3,4,0.0573,1,3,0.25,0.4008,0.0,0.0,0.25,,
UNLABELED_CLUSTER_30,Applin / Dipplin / Goldeen / Grookey / Rabsca / Rellor / Rillaboom / Seaking / Shaymin / Thwackey,17d163ba9b2ec58c,Air Balloon x2; Applin x1; Applin x3; Basic {G} Energy x5; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Bug Catching Set x3; Dawn x2; Dipplin x4; Festival Grounds x4; Goldeen x2; Grookey x4; Kieran x1; Lana’s Aid x1; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Rabsca x1; Rellor x1; Rillaboom x1; Seaking x1; Secret Box x1; Shaymin x1; Thwackey x3,1,3,0.043,0,3,0.0,0.0,0.0,0.0752,,,0.0
UNLABELED_CLUSTER_31,Barbaracle / Binacle / Bloodmoon Ursaluna / Lunatone / Okidogi / Solrock,07d37d40a18e4197,Air Balloon x2; Barbaracle x2; Basic {F} Energy x10; Battle Cage x3; Binacle x2; Bloodmoon Ursaluna x1; Boss’s Orders x3; Colress’s Tenacity x2; Fighting Gong x4; Judge x2; Lillie's Determination x4; Lunatone x2; Neutralization Zone x1; Night Stretcher x3; Okidogi x3; Poké Pad x4; Prism Energy x4; Solrock x4; Tarragon x3; Xerosic’s Machinations x1,1,3,0.043,2,1,0.6667,0.0,0.1505,0.0,,0.6667,
UNLABELED_CLUSTER_32,Applin / Dipplin / Grookey / Shaymin / Thwackey,ecf06b29e2a9ff12,Air Balloon x2; Applin x4; Basic {G} Energy x5; Brave Bangle x4; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dawn x4; Dipplin x4; Festival Grounds x4; Grookey x4; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Pokégear 3.0 x4; Sacred Ash x1; Shaymin x1; Thwackey x4; Unfair Stamp x1,2,3,0.043,3,0,1.0,0.0,0.0,0.0752,,,1.0
UNLABELED_CLUSTER_33,Applin / Dipplin / Grookey / Shaymin / Thwackey / Volbeat,42c823200429ac49,Applin x3; Applin x1; Basic {G} Energy x8; Black Belt’s Training x1; Boss’s Orders x1; Brave Bangle x1; Brock’s Scouting x1; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Grookey x4; Hilda x4; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Sacred Ash x1; Shaymin x1; Thwackey x4; Unfair Stamp x1; Volbeat x3,2,3,0.043,2,1,0.6667,0.0,0.0,0.0752,,,0.6667
UNLABELED_CLUSTER_34,Applin / Celebi / Dipplin / Grookey / Shaymin / Thwackey,b42b2ee66670b06f,Applin x2; Applin x2; Basic {G} Energy x7; Black Belt’s Training x1; Boss’s Orders x1; Brave Bangle x1; Buddy-Buddy Poffin x4; Bug Catching Set x4; Celebi x3; Colress’s Tenacity x1; Dipplin x4; Dusk Ball x1; Festival Grounds x4; Grookey x4; Hilda x3; Lillie's Determination x4; Night Stretcher x3; Poké Pad x4; Precious Trolley x1; Sacred Ash x1; Shaymin x1; Thwackey x4,2,3,0.043,2,1,0.6667,0.0,0.0,0.0752,,,0.6667
UNLABELED_CLUSTER_35,Budew / Dudunsparce / Dunsparce / Sealeo / Spheal / Walrein,101254ad244275c0,Basic {W} Energy x8; Buddy-Buddy Poffin x4; Budew x2; Crushing Hammer x4; Dawn x3; Dudunsparce x3; Dunsparce x3; Enhanced Hammer x3; Judge x2; Lillie's Determination x4; Megaton Blower x1; Night Stretcher x1; Poké Pad x4; Pokégear 3.0 x2; Rare Candy x4; Sacred Ash x2; Sealeo x2; Spheal x4; Walrein x4,3,3,0.043,2,1,0.6667,0.3006,0.0,0.0,0.6667,,
