archetype_id,archetype_name,recent_games,recent_share_of_period,prior_raw,included_in_filtered,prior_filtered
UNLABELED_CLUSTER_35,Budew / Dudunsparce / Dunsparce / Sealeo / Spheal / Walrein,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_29,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_31,Barbaracle / Binacle / Bloodmoon Ursaluna / Lunatone / Okidogi / Solrock,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_49,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra / Psyduck / Shaymin,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_50,Cubchoo / Munkidori,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_51,Applin / Dipplin / Grookey / Shaymin / Swirlix / Thwackey,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_52,Crustle / Dwebble / Volcanion,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_53,Pikachu ex,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_43,Cornerstone Mask Ogerpon ex / Mega Starmie ex,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_47,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin / Togekiss / Togepi,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_48,Crustle / Dwebble / Munkidori,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_56,Budew / Cubchoo,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_55,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Shaymin,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_54,Abra / Alakazam / Dudunsparce / Dunsparce / Elgyem / Kadabra,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_57,Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_61,Latias ex / Lillie’s Clefairy ex / Meowth ex,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_58,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax / Shaymin,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_59,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_60,Barbaracle / Binacle / Lunatone / Munkidori / Okidogi / Solrock,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_64,Budew / Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_63,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_62,Barbaracle / Binacle / Lunatone / Moltres / Okidogi / Patrat / Solrock,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_65,Elgyem / Maractus / Team Rocket's Articuno / Turtonator,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_67,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Sigilyph,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_66,Cubchoo / Dudunsparce / Dunsparce / Great Tusk / Shaymin,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_70,Mega Sharpedo ex,0,0.0,0.0,False,0.0
UNLABELED_CLUSTER_69,Archaludon ex / Meowth ex,0,0.0,0.0,False,0.0
