archetype_A,archetype_B,games,wins_A,wins_B,win_rate_A,win_rate_B,win_rate_A_wilson_lo,win_rate_A_wilson_hi,sample_confidence,games_recent,win_rate_A_recent,sample_confidence_recent,credible_counter_A_over_B,credible_counter_B_over_A,games_mismatch_flag
Dragapult ex,UNLABELED_CLUSTER_03,7,3,4,0.4286,0.5714,0.1582,0.7495,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_10,7,0,7,0.0,1.0,0.0,0.3543,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_05,7,5,2,0.7143,0.2857,0.3589,0.9178,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_02,7,2,5,0.2857,0.7143,0.0822,0.6411,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_09,7,1,6,0.1429,0.8571,0.0257,0.5131,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,Iono's (Bellibolt/Voltorb),6,4,2,0.6667,0.3333,0.3,0.9032,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_03,6,2,4,0.3333,0.6667,0.0968,0.7,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_05,6,2,4,0.3333,0.6667,0.0968,0.7,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_03,6,2,4,0.3333,0.6667,0.0968,0.7,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_03,6,4,2,0.6667,0.3333,0.3,0.9032,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_08,6,1,5,0.1667,0.8333,0.0301,0.5635,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,Teal Mask Ogerpon ex,6,3,3,0.5,0.5,0.1876,0.8124,INSUFFICIENT,4,0.5,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_05,5,4,1,0.8,0.2,0.3755,0.9638,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,Teal Mask Ogerpon ex,5,0,5,0.0,1.0,0.0,0.4345,INSUFFICIENT,4,0.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_04,5,3,2,0.6,0.4,0.2307,0.8824,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,Mega Abomasnow ex,5,2,3,0.4,0.6,0.1176,0.7693,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_07,5,1,4,0.2,0.8,0.0362,0.6245,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_04,5,5,0,1.0,0.0,0.5655,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_18,5,3,2,0.6,0.4,0.2307,0.8824,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_13,5,3,2,0.6,0.4,0.2307,0.8824,INSUFFICIENT,3,1.0,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_03,4,4,0,1.0,0.0,0.5101,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_04,4,0,4,0.0,1.0,0.0,0.4899,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_13,4,0,4,0.0,1.0,0.0,0.4899,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,Teal Mask Ogerpon ex,4,3,1,0.75,0.25,0.3006,0.9544,INSUFFICIENT,4,0.75,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_11,4,0,4,0.0,1.0,0.0,0.4899,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_20,4,2,2,0.5,0.5,0.15,0.85,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_14,4,4,0,1.0,0.0,0.5101,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_01,4,2,2,0.5,0.5,0.15,0.85,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_14,4,3,1,0.75,0.25,0.3006,0.9544,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_02,4,4,0,1.0,0.0,0.5101,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_11,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_08,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_27,3,0,3,0.0,1.0,0.0,0.5615,INSUFFICIENT,3,0.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_10,3,3,0,1.0,0.0,0.4385,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_04,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_03,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_07,3,3,0,1.0,0.0,0.4385,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_12,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_15,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_16,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_06,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_12,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_01,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_04,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,2,1.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_18,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,Mega Abomasnow ex,3,0,3,0.0,1.0,0.0,0.5615,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_10,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_10,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_04,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_07,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_11,3,0,3,0.0,1.0,0.0,0.5615,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_34,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,3,0.3333,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_02,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_11,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_07,3,1,2,0.3333,0.6667,0.0615,0.7923,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_04,3,3,0,1.0,0.0,0.4385,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_03,3,2,1,0.6667,0.3333,0.2077,0.9385,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_04,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_08,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_06,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_08,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_29,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_12,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_11,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_10,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_09,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,2,1.0,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_17,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_22,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_21,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,2,0.0,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_24,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,Iono's (Bellibolt/Voltorb),2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_25,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_14,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_07,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_05,Iono's (Bellibolt/Voltorb),2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_10,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_26,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Fezandipiti ex,Mega Abomasnow ex,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_21,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,2,0.0,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_16,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_19,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,2,0.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_42,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_43,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_25,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_19,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_09,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_11,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_33,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,2,0.0,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_23,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_26,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,2,1.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_22,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_19,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_21,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,2,1.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_09,UNLABELED_CLUSTER_13,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_07,UNLABELED_CLUSTER_08,2,0,2,0.0,1.0,0.0,0.6576,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,Mega Lucario ex,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_12,2,1,1,0.5,0.5,0.0945,0.9055,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_50,2,2,0,1.0,0.0,0.3424,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_59,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_13,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_41,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_53,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_47,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_46,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_24,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,Mega Abomasnow ex,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Teal Mask Ogerpon ex,Mega Abomasnow ex,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,Mega Abomasnow ex,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_64,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
