level,player_deck_hash,opponent_deck_hash,games,wins,losses,win_rate,wilson_lo,wilson_hi,confidence
ARCHETYPE,Mega Kangaskhan ex,Team Rocket's Mewtwo ex,34,14,20,0.4118,0.2637,0.5778,LOW_CONFIDENCE
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_01,32,15,17,0.4688,0.3087,0.6355,LOW_CONFIDENCE
ARCHETYPE,Mega Kangaskhan ex,Mega Lopunny ex,31,10,21,0.3226,0.1857,0.4986,LOW_CONFIDENCE
ARCHETYPE,Marnie's Grimmsnarl ex,Mega Lucario ex,30,14,16,0.4667,0.3023,0.6386,LOW_CONFIDENCE
ARCHETYPE,Teal Mask Ogerpon ex,Mega Lopunny ex,29,7,22,0.2414,0.1222,0.4211,LOW_CONFIDENCE
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_05,24,8,16,0.3333,0.1797,0.5329,LOW_CONFIDENCE
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_01,23,9,14,0.3913,0.2216,0.5921,LOW_CONFIDENCE
ARCHETYPE,Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,23,13,10,0.5652,0.3681,0.7437,LOW_CONFIDENCE
ARCHETYPE,Mega Lucario ex,Fezandipiti ex,22,10,12,0.4545,0.2692,0.6534,LOW_CONFIDENCE
ARCHETYPE,UNLABELED_CLUSTER_04,Marnie's Grimmsnarl ex,22,11,11,0.5,0.3072,0.6928,LOW_CONFIDENCE
ARCHETYPE,UNLABELED_CLUSTER_02,Fezandipiti ex,20,8,12,0.4,0.2188,0.6134,LOW_CONFIDENCE
ARCHETYPE,UNLABELED_CLUSTER_02,Marnie's Grimmsnarl ex,18,8,10,0.4444,0.2456,0.6628,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_03,17,13,4,0.7647,0.5274,0.9045,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_01,17,10,7,0.5882,0.3601,0.7839,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,Mega Lucario ex,17,7,10,0.4118,0.2161,0.6399,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,Dragapult ex,17,6,11,0.3529,0.1731,0.587,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,Mega Lucario ex,16,9,7,0.5625,0.3318,0.769,INSUFFICIENT
ARCHETYPE,Dragapult ex,Mega Lucario ex,16,2,14,0.125,0.035,0.3602,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Fezandipiti ex,15,5,10,0.3333,0.1518,0.5829,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,Mega Kangaskhan ex,14,10,4,0.7143,0.4535,0.8828,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_07,Fezandipiti ex,14,8,6,0.5714,0.3259,0.7862,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,Dragapult ex,13,6,7,0.4615,0.2321,0.7086,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,Mega Kangaskhan ex,13,6,7,0.4615,0.2321,0.7086,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_04,12,6,6,0.5,0.2538,0.7462,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,Dragapult ex,12,2,10,0.1667,0.047,0.448,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_01,11,7,4,0.6364,0.3538,0.8483,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,Mega Lopunny ex,11,9,2,0.8182,0.523,0.9486,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_02,10,8,2,0.8,0.4902,0.9433,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,Dragapult ex,10,6,4,0.6,0.3127,0.8318,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_04,9,6,3,0.6667,0.3542,0.8794,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,Fezandipiti ex,9,6,3,0.6667,0.3542,0.8794,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,Mega Lucario ex,9,0,9,0.0,0.0,0.2992,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_05,8,7,1,0.875,0.5291,0.9776,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_17,8,1,7,0.125,0.0224,0.4709,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,Mega Kangaskhan ex,8,3,5,0.375,0.1368,0.6943,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_15,8,2,6,0.25,0.0715,0.5907,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,Team Rocket's Mewtwo ex,8,8,0,1.0,0.6756,1.0,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_09,8,2,6,0.25,0.0715,0.5907,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_12,8,5,3,0.625,0.3057,0.8632,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_05,7,5,2,0.7143,0.3589,0.9178,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_05,Fezandipiti ex,7,4,3,0.5714,0.2505,0.8418,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_10,7,0,7,0.0,0.0,0.3543,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Dragapult ex,7,4,3,0.5714,0.2505,0.8418,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,Dragapult ex,7,6,1,0.8571,0.4869,0.9743,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_02,7,2,5,0.2857,0.0822,0.6411,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_09,Fezandipiti ex,7,6,1,0.8571,0.4869,0.9743,INSUFFICIENT
ARCHETYPE,Iono's (Bellibolt/Voltorb),Mega Lucario ex,6,2,4,0.3333,0.0968,0.7,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_02,6,2,4,0.3333,0.0968,0.7,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_01,6,4,2,0.6667,0.3,0.9032,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_01,6,4,2,0.6667,0.3,0.9032,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Mega Kangaskhan ex,6,4,2,0.6667,0.3,0.9032,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,Teal Mask Ogerpon ex,6,3,3,0.5,0.1876,0.8124,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,Mega Kangaskhan ex,6,5,1,0.8333,0.4365,0.9699,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_02,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_07,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_04,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,Mega Abomasnow ex,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,Marnie's Grimmsnarl ex,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_04,5,5,0,1.0,0.5655,1.0,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,Teal Mask Ogerpon ex,5,0,5,0.0,0.0,0.4345,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_18,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Mega Lucario ex,4,0,4,0.0,0.0,0.4899,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_14,Marnie's Grimmsnarl ex,4,0,4,0.0,0.0,0.4899,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_02,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_20,4,2,2,0.5,0.15,0.85,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_11,UNLABELED_CLUSTER_01,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,Team Rocket's Mewtwo ex,4,2,2,0.5,0.15,0.85,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_14,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,Mega Kangaskhan ex,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,Team Rocket's Mewtwo ex,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_04,4,0,4,0.0,0.0,0.4899,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_07,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_03,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,Fezandipiti ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_11,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_10,3,3,0,1.0,0.4385,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_10,UNLABELED_CLUSTER_01,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,Dragapult ex,Mega Abomasnow ex,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Cynthia's Garchomp ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_10,UNLABELED_CLUSTER_02,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,Dragapult ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_16,Fezandipiti ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,Mega Lopunny ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,Team Rocket's Mewtwo ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_11,Marnie's Grimmsnarl ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_07,3,3,0,1.0,0.4385,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_12,Mega Kangaskhan ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,Cynthia's Garchomp ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_07,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_27,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_34,Marnie's Grimmsnarl ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_04,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,Mega Lopunny ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_11,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,Marnie's Grimmsnarl ex,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_18,Mega Kangaskhan ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_12,Fezandipiti ex,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_15,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_01,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,Iono's (Bellibolt/Voltorb),UNLABELED_CLUSTER_05,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_23,Dragapult ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_29,UNLABELED_CLUSTER_01,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_10,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_16,Dragapult ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_08,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_19,Mega Lucario ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,Dragapult ex,Iono's (Bellibolt/Voltorb),2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_22,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_22,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,Mega Abomasnow ex,Fezandipiti ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_17,Mega Lucario ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_10,Dragapult ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,UNLABELED_CLUSTER_01,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_14,Cynthia's Garchomp ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_12,Team Rocket's Mewtwo ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_11,UNLABELED_CLUSTER_04,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_50,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_09,Mega Kangaskhan ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,Cynthia's Garchomp ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_19,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_33,Marnie's Grimmsnarl ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_26,Marnie's Grimmsnarl ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_09,Mega Lopunny ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_21,Mega Lopunny ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_42,Marnie's Grimmsnarl ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,Team Rocket's Mewtwo ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_24,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_11,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_43,Marnie's Grimmsnarl ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_07,UNLABELED_CLUSTER_08,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_25,Dragapult ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_25,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_09,UNLABELED_CLUSTER_13,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_07,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_26,Fezandipiti ex,2,0,2,0.0,0.0,0.6576,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_21,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_12,Cynthia's Garchomp ex,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_21,Marnie's Grimmsnarl ex,2,2,0,1.0,0.3424,1.0,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_19,2,1,1,0.5,0.0945,0.9055,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_47,Fezandipiti ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_51,UNLABELED_CLUSTER_01,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,Mega Abomasnow ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Abomasnow ex,Teal Mask Ogerpon ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_35,UNLABELED_CLUSTER_01,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_52,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_48,UNLABELED_CLUSTER_06,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_27,Mega Lucario ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_49,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_37,UNLABELED_CLUSTER_01,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_05,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_07,Iono's (Bellibolt/Voltorb),1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_22,UNLABELED_CLUSTER_05,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Iono's (Bellibolt/Voltorb),UNLABELED_CLUSTER_01,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_47,Mega Lucario ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_53,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_28,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_20,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,UNLABELED_CLUSTER_06,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_38,UNLABELED_CLUSTER_01,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_23,UNLABELED_CLUSTER_16,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_54,UNLABELED_CLUSTER_03,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Abomasnow ex,UNLABELED_CLUSTER_06,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_49,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_22,UNLABELED_CLUSTER_35,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_16,Mega Lucario ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_55,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_56,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_48,Mega Lucario ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_23,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_11,Dragapult ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_28,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_38,UNLABELED_CLUSTER_03,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_28,UNLABELED_CLUSTER_04,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_57,UNLABELED_CLUSTER_02,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Iono's (Bellibolt/Voltorb),UNLABELED_CLUSTER_27,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_58,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_16,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_22,Dragapult ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_17,Dragapult ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_22,UNLABELED_CLUSTER_03,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_36,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_07,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_23,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_59,Dragapult ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_23,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_39,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,Mega Lucario ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_36,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_20,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_40,Fezandipiti ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_36,UNLABELED_CLUSTER_07,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_29,Team Rocket's Mewtwo ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
