archetype_id,archetype_name,games,exact_deck_count,usage_share,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,shrinkage_win_rate,confidence,strength_class,early_share,middle_share,recent_share,early_win_rate,middle_win_rate,recent_win_rate,recent_games,share_change_early_to_recent,win_rate_change_early_to_recent,meta_trend,win_rate_trend,short_game_win_rate,short_game_delta_pp,short_game_sample,short_game_class,credible_counter_count,credible_countered_by_count,meta_tags
UNLABELED_CLUSTER_02,Archaludon ex,124,33,1.776,0.4435,0.3591,0.5314,0.4545,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,8.7174,1.7051,0.0752,0.4943,0.3235,0.3333,3,-8.6422,-16.1,moderately declining,meaningful decrease,0.4545,1.1,22,neutral,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_03,Mega Starmie ex,88,9,1.2604,0.4545,0.3546,0.5583,0.4661,USABLE,HIGH_USAGE_AVERAGE,4.9098,1.9559,0.0,0.449,0.4615,,0,-4.9098,,moderately declining,INSUFFICIENT_DATA,0.5526,9.81,38,neutral,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_04,Cornerstone Mask Ogerpon ex,80,11,1.1458,0.4625,0.3575,0.571,0.4727,USABLE,HIGH_USAGE_AVERAGE,1.3026,2.5075,0.4261,0.2308,0.54,0.4118,17,-0.8765,18.1,stable,meaningful increase,,,11,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_05,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax,76,13,1.0885,0.4868,0.3778,0.5971,0.4906,USABLE,HIGH_USAGE_AVERAGE,7.6152,0.0,0.0,0.4868,,,0,-7.6152,,moderately declining,INSUFFICIENT_DATA,,,6,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_06,Crustle / Dwebble,41,14,0.5872,0.439,0.2989,0.5896,0.4648,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,4.1082,0.0,0.0,0.439,,,0,-4.1082,,moderately declining,INSUFFICIENT_DATA,0.3548,-8.42,31,neutral,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_07,Mega Froslass ex / Mega Starmie ex,39,11,0.5586,0.5385,0.3857,0.6843,0.5217,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,1.002,1.2036,0.1253,0.6,0.5417,0.4,5,-0.8767,-20.0,stable,meaningful decrease,,,12,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_08,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Shaymin,28,4,0.401,0.75,0.5664,0.8732,0.6207,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,0.1002,1.3541,0.0,1.0,0.7407,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,10,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_09,Applin / Dipplin / Grookey / Rabsca / Rellor / Shaymin / Thwackey,23,2,0.3294,0.6087,0.4079,0.7784,0.5472,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,0.0,0.652,0.2506,,0.6923,0.5,10,0.2506,,stable,INSUFFICIENT_DATA,,,5,uncertain,0,0,CURRENT_UNCERTAIN
Mega Abomasnow ex,Mega Abomasnow ex,22,6,0.3151,0.5,0.3072,0.6928,0.5,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,2.2044,0.0,0.0,0.5,,,0,-2.2044,,stable,INSUFFICIENT_DATA,,,18,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_10,Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,22,3,0.3151,0.5909,0.3873,0.7674,0.5385,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,2.2044,0.0,0.0,0.5909,,,0,-2.2044,,stable,INSUFFICIENT_DATA,,,4,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_11,Chandelure / Comfey / Lampent / Litwick / Shaymin,20,2,0.2865,0.55,0.3421,0.7418,0.52,LOW_CONFIDENCE,LOW_SAMPLE_UNCERTAIN,0.9018,0.5517,0.0,0.7778,0.3636,,0,-0.9018,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_12,Cornerstone Mask Ogerpon ex / Mega Froslass ex / Mega Starmie ex,19,6,0.2721,0.5263,0.3171,0.7267,0.5102,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.5015,0.2256,,0.4,0.6667,9,0.2256,,stable,INSUFFICIENT_DATA,,,5,uncertain,0,0,CURRENT_UNCERTAIN
Iono's (Bellibolt/Voltorb),Iono's (Bellibolt/Voltorb),15,1,0.2148,0.3333,0.1518,0.5829,0.4444,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,1.503,0.0,0.0,0.3333,,,0,-1.503,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_13,Applin / Dipplin / Grookey / Swirlix / Thwackey,15,1,0.2148,0.6,0.3575,0.8018,0.5333,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.4012,0.1754,,1.0,0.1429,7,0.1754,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_14,Comfey / Shaymin / Yveltal,14,2,0.2005,0.3571,0.1634,0.6124,0.4545,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.652,0.0,0.0,0.3846,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_15,Applin / Dipplin / Genesect / Grookey / Rabsca / Rellor / Shaymin / Thwackey,12,1,0.1719,0.75,0.4677,0.9111,0.5714,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.3511,0.1253,,0.7143,0.8,5,0.1253,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_16,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Togekiss / Togepi,11,2,0.1575,0.2727,0.0975,0.5657,0.439,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.6012,0.2508,0.0,0.3333,0.2,,0,-0.6012,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_17,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion,11,4,0.1575,0.7273,0.4343,0.9025,0.561,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,1.1022,0.0,0.0,0.7273,,,0,-1.1022,,stable,INSUFFICIENT_DATA,,,8,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_18,Brambleghast / Bramblin / Comfey / Shaymin,11,3,0.1575,0.4545,0.2127,0.7199,0.4878,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.5517,0.0,,0.4545,,0,0.0,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_19,Applin / Dipplin / Goldeen / Grookey / Seaking / Thwackey,9,5,0.1289,0.6667,0.3542,0.8794,0.5385,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.4008,0.0,0.1253,0.5,,0.8,5,-0.2755,30.0,stable,meaningful increase,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_20,Crustle / Dwebble / Great Tusk / Terrakion,8,2,0.1146,0.375,0.1368,0.6943,0.4737,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.4008,0.2006,0.0,0.25,0.5,,0,-0.4008,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_21,N’s Zoroark ex,8,3,0.1146,0.5,0.2152,0.7848,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0502,0.1754,,0.0,0.5714,7,0.1754,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_22,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,8,5,0.1146,0.625,0.3057,0.8632,0.5263,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.8016,0.0,0.0,0.625,,,0,-0.8016,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_23,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra / Shaymin,7,3,0.1003,0.8571,0.4869,0.9743,0.5676,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.7014,0.0,0.0,0.8571,,,0,-0.7014,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_24,Mega Froslass ex,6,1,0.0859,0.6667,0.3,0.9032,0.5278,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.2508,0.0,1.0,0.6,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_25,Cubchoo / Dudunsparce / Dunsparce / Munkidori / Team Rocket's Articuno,5,1,0.0716,0.4,0.1176,0.7693,0.4857,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.2508,0.0,,0.4,,0,0.0,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_26,Applin / Celebi / Dipplin / Grookey / Thwackey,5,2,0.0716,0.4,0.1176,0.7693,0.4857,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0502,0.1003,,1.0,0.25,4,0.1003,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_27,Applin / Dipplin / Goldeen / Grookey / Seaking / Shaymin / Thwackey,5,2,0.0716,1.0,0.5655,1.0,0.5714,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0752,1.0,,1.0,3,-0.1252,0.0,stable,stable,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_28,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Shaymin / Togekiss / Togepi,4,2,0.0573,0.25,0.0456,0.6994,0.4706,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.3006,0.0502,0.0,0.0,1.0,,0,-0.3006,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_29,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra,4,3,0.0573,0.25,0.0456,0.6994,0.4706,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.4008,0.0,0.0,0.25,,,0,-0.4008,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_30,Applin / Dipplin / Goldeen / Grookey / Rabsca / Rellor / Rillaboom / Seaking / Shaymin / Thwackey,3,1,0.043,0.0,0.0,0.5615,0.4545,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0752,,,0.0,3,0.0752,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_31,Barbaracle / Binacle / Bloodmoon Ursaluna / Lunatone / Okidogi / Solrock,3,1,0.043,0.6667,0.2077,0.9385,0.5152,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.1505,0.0,,0.6667,,0,0.0,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_32,Applin / Dipplin / Grookey / Shaymin / Thwackey,3,2,0.043,1.0,0.4385,1.0,0.5455,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0752,,,1.0,3,0.0752,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_33,Applin / Dipplin / Grookey / Shaymin / Thwackey / Volbeat,3,2,0.043,0.6667,0.2077,0.9385,0.5152,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0752,,,0.6667,3,0.0752,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_34,Applin / Celebi / Dipplin / Grookey / Shaymin / Thwackey,3,2,0.043,0.6667,0.2077,0.9385,0.5152,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0752,,,0.6667,3,0.0752,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_35,Budew / Dudunsparce / Dunsparce / Sealeo / Spheal / Walrein,3,3,0.043,0.6667,0.2077,0.9385,0.5152,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.3006,0.0,0.0,0.6667,,,0,-0.3006,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_36,Team Rocket's Articuno / Team Rocket's Honchkrow / Team Rocket's Murkrow / Team Rocket's Porygon / Team Rocket's Porygon2,3,3,0.043,0.6667,0.2077,0.9385,0.5152,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.3006,0.0,0.0,0.6667,,,0,-0.3006,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_37,Barbaracle / Binacle / Lunatone / Okidogi / Solrock,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,0.5,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_38,Mega Starmie ex / Meowth ex,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,0.5,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_39,Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Dubwool / Hop’s Snorlax / Hop’s Wooloo / Shaymin,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,0.5,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_40,Cubchoo / Dudunsparce / Dunsparce / Fan Rotom,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,0.5,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_41,Applin / Dipplin / Grookey / Thwackey,2,1,0.0286,0.0,0.0,0.6576,0.4688,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0501,,,0.0,2,0.0501,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_42,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Team Rocket's Articuno,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0501,,,0.5,2,0.0501,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_43,Cornerstone Mask Ogerpon ex / Mega Starmie ex,2,1,0.0286,0.0,0.0,0.6576,0.4688,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.1003,0.0,,0.0,,0,0.0,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_44,Brambleghast / Bramblin / Comfey / Rabsca / Rellor / Team Rocket's Articuno,2,1,0.0286,0.0,0.0,0.6576,0.4688,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0501,,,0.0,2,0.0501,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_45,Applin / Dipplin / Goldeen / Grookey / Psyduck / Rillaboom / Seaking / Shaymin / Thwackey,2,1,0.0286,1.0,0.3424,1.0,0.5312,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0501,,,1.0,2,0.0501,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_46,Applin / Dipplin / Grookey / Thwackey / Volbeat,2,1,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.0,0.0501,,,0.5,2,0.0501,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_47,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin / Togekiss / Togepi,2,2,0.0286,1.0,0.3424,1.0,0.5312,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,1.0,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_48,Crustle / Dwebble / Munkidori,2,2,0.0286,1.0,0.3424,1.0,0.5312,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,1.0,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_49,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra / Psyduck / Shaymin,2,2,0.0286,0.5,0.0945,0.9055,0.5,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.2004,0.0,0.0,0.5,,,0,-0.2004,,stable,INSUFFICIENT_DATA,,,2,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_50,Cubchoo / Munkidori,2,2,0.0286,0.0,0.0,0.6576,0.4688,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.0,0.1003,0.0,,0.0,,0,0.0,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_51,Applin / Dipplin / Grookey / Shaymin / Swirlix / Thwackey,1,1,0.0143,1.0,0.2065,1.0,0.5161,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,1.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_52,Crustle / Dwebble / Volcanion,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_53,Pikachu ex,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_54,Abra / Alakazam / Dudunsparce / Dunsparce / Elgyem / Kadabra,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_55,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Shaymin,1,1,0.0143,1.0,0.2065,1.0,0.5161,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,1.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,1,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_56,Budew / Cubchoo,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_57,Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_58,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax / Shaymin,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_59,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra,1,1,0.0143,1.0,0.2065,1.0,0.5161,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,1.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_60,Barbaracle / Binacle / Lunatone / Munkidori / Okidogi / Solrock,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_61,Latias ex / Lillie’s Clefairy ex / Meowth ex,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_62,Barbaracle / Binacle / Lunatone / Moltres / Okidogi / Patrat / Solrock,1,1,0.0143,1.0,0.2065,1.0,0.5161,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,1.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_63,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
UNLABELED_CLUSTER_64,Budew / Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion,1,1,0.0143,0.0,0.0,0.7935,0.4839,INSUFFICIENT,LOW_SAMPLE_UNCERTAIN,0.1002,0.0,0.0,0.0,,,0,-0.1002,,stable,INSUFFICIENT_DATA,,,0,uncertain,0,0,CURRENT_UNCERTAIN
