episode_id,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_luca_hash,deck_luca_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin,comeback_from_2plus_deficit
92202781,2026-08-12T04:39:36.378Z,16443122,motono0223,807.8,LOSS,False,14,187,83,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,8,3,23,6,7,0.8571428571428571,0,0,0,-2,False
92201815,2026-08-12T04:35:35.978Z,16381624,LumenLiquidity,1147.8,LOSS,True,7,120,49,eb1222900df9baf0,Mega Lucario ex,f8261f22b9cd0c48,Dragapult ex,3,1,21,3,3,1.0,0,0,0,0,False
92200876,2026-08-12T04:31:35.919Z,16536318,李秉叡（ntumlnoob）,1089.0,WIN,True,11,147,94,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,9,4,32,3,5,0.6,0,0,0,-1,False
92199848,2026-08-12T04:27:36.014Z,16380946,flg,1127.4,LOSS,True,13,209,78,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,4,0,29,3,4,0.75,0,0,1,1,False
92198976,2026-08-12T04:23:36.085Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,5,56,42,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,2,0,11,2,2,1.0,0,0,0,-1,False
92198029,2026-08-12T04:19:37.976Z,16594494,Yopta,1076.7,WIN,True,11,124,67,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,2,0,30,5,5,1.0,0,0,0,-2,False
92197087,2026-08-12T04:15:36.020Z,16374469,西松大祐,589.9,WIN,False,12,156,76,eb1222900df9baf0,Mega Lucario ex,c4ebaf6e42fc8a2a,Fezandipiti ex,5,1,19,5,6,0.8333333333333334,0,9,0,-4,False
92196147,2026-08-12T04:11:35.848Z,16473979,pikap pika pikaa pikachuuuuuuu,556.9,WIN,True,9,76,48,eb1222900df9baf0,Mega Lucario ex,bdc6ed6c4b219556,Mega Kangaskhan ex,2,0,20,4,4,1.0,0,9,0,-3,False
92195195,2026-08-12T04:07:35.896Z,16386110,Jonathan Coletti,981.9,WIN,True,11,137,81,eb1222900df9baf0,Mega Lucario ex,24d2f0bf0cee8dde,Fezandipiti ex,7,1,24,5,5,1.0,0,3,0,-4,False
92192398,2026-08-12T03:55:35.945Z,16385250,matsurih,996.3,LOSS,False,10,149,85,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,5,1,33,3,5,0.6,0,0,1,0,False
92194266,2026-08-12T04:03:36.155Z,16380946,flg,1127.4,LOSS,True,7,64,19,eb1222900df9baf0,Mega Lucario ex,e5715ac88e49eb09,Cynthia's Garchomp ex,3,0,6,0,3,0.0,0,2,1,1,False
92193323,2026-08-12T03:59:35.848Z,16404352,Oshbocker,1192.2,LOSS,False,10,137,66,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,5,1,15,2,3,0.6666666666666666,0,0,2,2,False
92191475,2026-08-12T03:51:35.954Z,16395522,ropeadope,955.2,WIN,False,12,117,78,eb1222900df9baf0,Mega Lucario ex,14db4b34cc8fbbb7,Mega Kangaskhan ex,6,1,34,4,6,0.6666666666666666,0,0,0,-4,False
92190545,2026-08-12T03:47:36.192Z,16422381,JB Bryant,1002.8,WIN,True,9,144,61,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,2,0,26,4,4,1.0,0,1,0,-1,False
92189626,2026-08-12T03:43:36.590Z,16675594,pikapika,974.5,WIN,True,13,173,89,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,2,0,32,6,6,1.0,0,7,0,-4,False
92188670,2026-08-12T03:39:37.183Z,16407428,{{ team_name }} 🏆,811.9,WIN,True,11,114,64,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,3,0,27,4,5,0.8,0,0,0,-2,False
92188860,2026-08-12T03:39:37.516Z,16371703,やる気元気ミワハルキ,980.3,LOSS,False,14,125,37,eb1222900df9baf0,Mega Lucario ex,9e2749ec691d6925,Dragapult ex,4,1,2,0,2,0.0,0,0,5,5,False
92187730,2026-08-12T03:35:36.000Z,16381823,AlphaTcg,1101.0,LOSS,False,12,188,78,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,2,0,26,3,3,1.0,0,0,3,3,False
92186798,2026-08-12T03:31:35.885Z,16561259,@kdcyberdude,840.9,LOSS,True,15,222,97,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,4,1,41,3,6,0.5,0,0,1,1,False
92185833,2026-08-12T03:27:35.955Z,16487905,Latios17,345.7,WIN,False,10,135,77,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,4,1,28,5,5,1.0,0,0,0,-1,False
92184025,2026-08-12T03:19:36.311Z,16382227,takusemba,961.2,WIN,False,8,133,62,eb1222900df9baf0,Mega Lucario ex,42bfead19b0f8e10,UNLABELED,4,1,26,4,4,1.0,0,0,0,-2,False
92184874,2026-08-12T03:23:35.933Z,16604511,OiOi-Poke,915.0,WIN,True,9,125,67,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,3,0,22,4,4,1.0,0,0,0,-1,False
92183940,2026-08-12T03:19:36.213Z,16676325,huaiyuyoung,983.5,WIN,False,2,20,16,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,0,0,3,1,1,1.0,0,0,0,0,False
92183009,2026-08-12T03:15:36.038Z,16511634,Otter Vibe,964.6,WIN,True,9,93,63,eb1222900df9baf0,Mega Lucario ex,f42e8cc48fbfdf2c,Mega Kangaskhan ex,4,2,22,3,4,0.75,0,0,0,-3,False
92182056,2026-08-12T03:11:05.815Z,16380293,TFA Alliance,822.7,WIN,True,13,206,92,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,4,1,30,5,6,0.8333333333333334,0,1,0,-3,False
92181140,2026-08-12T03:07:11.717Z,16537239,LP,691.3,WIN,False,10,148,75,eb1222900df9baf0,Mega Lucario ex,4a256a933ac66a7b,Mega Lucario ex,6,2,23,5,5,1.0,0,0,0,-3,False
