episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_ITEM,action_count_PLAY_POKEMON,action_count_PLAY_SUPPORTER,action_count_ABILITY,action_count_ATTACH_ENERGY,action_count_EVOLVE,action_count_ATTACK,action_count_RETREAT
92230327,luca,2026-08-12T06:35:40.948Z,16371703,やる気元気ミワハルキ,980.3,LOSS,True,9,165,64,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,6,1,21,3,4,0.75,0,4,0,0,False,7,5,3,3,4,3,3,1
92224652,luca,2026-08-12T06:11:40.815Z,16452116,Sixth Sense,1066.8,WIN,True,21,260,110,eb1222900df9baf0,Mega Lucario ex,2026f6adb448abd3,Dragapult ex,15,2,31,6,8,0.75,0,1,2,0,True,13,8,5,6,9,5,6,2
92223703,luca,2026-08-12T06:07:41.582Z,16371653,213tubo,666.9,WIN,False,20,219,89,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,3,2,26,5,6,0.8333333333333334,0,2,1,0,False,11,7,6,5,6,3,5,2
92220894,luca,2026-08-12T05:55:41.655Z,16371703,やる気元気ミワハルキ,980.3,LOSS,True,15,227,74,eb1222900df9baf0,Mega Lucario ex,9e2749ec691d6925,Dragapult ex,6,0,16,2,5,0.4,0,0,3,3,False,12,7,5,6,4,3,2,0
92222763,luca,2026-08-12T06:03:41.230Z,16391939,PP kawada,935.3,WIN,False,14,119,64,eb1222900df9baf0,Mega Lucario ex,42c823200429ac49,UNLABELED,17,1,21,6,7,0.8571428571428571,0,14,0,-5,False,5,5,4,4,3,2,6,1
92221831,luca,2026-08-12T05:59:41.162Z,16404352,Oshbocker,1192.2,WIN,False,10,127,63,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,9,0,19,3,5,0.6,0,0,2,-1,True,7,7,3,4,6,3,3,0
92219951,luca,2026-08-12T05:51:41.747Z,16380946,flg,1127.4,WIN,True,11,179,66,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,4,0,18,5,5,1.0,0,0,0,-2,False,5,6,3,5,3,3,5,0
92218970,luca,2026-08-12T05:47:40.320Z,16371653,213tubo,666.9,WIN,False,14,181,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,4,1,28,6,7,0.8571428571428571,0,3,0,-3,False,6,5,4,3,6,3,6,1
92218995,luca,2026-08-12T05:47:40.380Z,16566874,kwa,1000.1,WIN,True,11,150,78,eb1222900df9baf0,Mega Lucario ex,883dbbec46afc72e,Fezandipiti ex,4,1,18,4,4,1.0,0,2,0,0,False,9,6,4,4,5,4,4,1
92218051,luca,2026-08-12T05:43:41.686Z,16404352,Oshbocker,1192.2,LOSS,False,10,157,74,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,4,0,30,4,5,0.8,0,2,2,0,False,13,7,4,4,5,3,4,0
92218110,luca,2026-08-12T05:43:41.781Z,16404352,Oshbocker,1192.2,LOSS,True,7,120,61,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,19,1,21,2,3,0.6666666666666666,0,0,4,4,False,7,7,3,3,5,4,2,1
92217176,luca,2026-08-12T05:40:02.232Z,16594494,Yopta,1076.7,WIN,False,8,114,58,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,10,1,15,3,3,1.0,0,0,0,-1,False,10,5,2,4,3,2,3,1
92216170,luca,2026-08-12T05:35:36.182Z,16381904,NguyenThanhNhan,990.8,WIN,False,10,160,87,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,19,1,36,5,5,1.0,0,0,0,-2,False,14,7,5,6,5,4,5,1
92215204,luca,2026-08-12T05:31:36.241Z,16421599,熱異常,1077.8,WIN,False,6,51,28,eb1222900df9baf0,Mega Lucario ex,712e7e9d851a570b,Teal Mask Ogerpon ex,1,0,15,3,3,1.0,0,0,0,-3,False,4,5,1,2,2,1,3,0
92214223,luca,2026-08-12T05:27:36.493Z,16371653,213tubo,666.9,WIN,False,26,242,97,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,15,1,36,5,7,0.7142857142857143,0,1,1,-2,False,12,7,7,7,5,4,5,1
92213249,luca,2026-08-12T05:23:36.283Z,16400698,MarineYY,836.6,WIN,False,14,126,79,eb1222900df9baf0,Mega Lucario ex,37f2032236fb6baf,Mega Kangaskhan ex,12,3,34,4,7,0.5714285714285714,0,5,0,-2,False,11,6,6,2,7,3,4,3
92212278,luca,2026-08-12T05:19:35.993Z,16463316,LiamK,1039.2,WIN,True,13,233,90,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,27,1,44,4,6,0.6666666666666666,0,8,0,-1,False,13,6,6,7,8,4,4,1
92211319,luca,2026-08-12T05:15:37.015Z,16531497,"Bart, Edwyn",1082.7,WIN,True,11,147,64,eb1222900df9baf0,Mega Lucario ex,f68ccef625779ef7,Fezandipiti ex,14,1,23,5,5,1.0,0,1,0,-2,False,7,6,4,3,5,2,5,1
92210358,luca,2026-08-12T05:11:35.919Z,16594494,Yopta,1076.7,WIN,False,14,136,68,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,6,0,28,4,7,0.5714285714285714,0,0,0,0,False,10,6,4,2,6,3,4,0
92209392,luca,2026-08-12T05:07:36.244Z,16689712,新米エンジニア十一号,290.8,WIN,True,7,50,32,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,2,1,7,3,3,1.0,0,0,0,-2,False,2,5,0,1,3,1,3,1
92208431,luca,2026-08-12T05:03:36.185Z,16387818,Hi Im Ryo,892.6,WIN,True,7,91,55,eb1222900df9baf0,Mega Lucario ex,f795869013b55d9a,Teal Mask Ogerpon ex,19,0,22,3,3,1.0,0,0,0,-2,False,12,5,2,3,4,2,3,0
92207476,luca,2026-08-12T04:59:36.022Z,16581741,Dipam Chakraborty,929.2,LOSS,False,10,132,42,eb1222900df9baf0,Mega Lucario ex,cc84b1b9f1e05949,Dragapult ex,3,0,8,1,3,0.3333333333333333,0,3,5,5,False,8,4,2,0,4,2,1,0
92206497,luca,2026-08-12T04:55:36.521Z,16375647,James Cox & Henry Chao,1107.3,LOSS,False,6,121,53,eb1222900df9baf0,Mega Lucario ex,d27ab9465febb3da,Mega Kangaskhan ex,5,0,22,2,3,0.6666666666666666,0,0,1,1,False,9,7,3,3,3,2,2,0
92205568,luca,2026-08-12T04:51:36.851Z,16381823,AlphaTcg,1101.0,WIN,True,9,114,55,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,19,0,27,4,4,1.0,0,2,0,-1,False,6,6,3,2,4,3,4,0
92204637,luca,2026-08-12T04:47:37.593Z,16381904,NguyenThanhNhan,990.8,WIN,False,14,206,94,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,27,0,38,4,6,0.6666666666666666,0,7,1,-1,False,15,7,7,7,8,3,4,0
92203697,luca,2026-08-12T04:43:36.010Z,16462035,Аzat Akhtyamov,1071.9,WIN,True,13,166,87,eb1222900df9baf0,Mega Lucario ex,b43a53d96da0f0b5,Marnie's Grimmsnarl ex,23,0,35,4,6,0.6666666666666666,0,2,0,-5,False,12,5,6,7,8,4,4,0
92202781,luca,2026-08-12T04:39:36.378Z,16443122,motono0223,807.8,LOSS,False,14,187,83,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,12,3,23,6,7,0.8571428571428571,0,0,0,-2,False,10,5,3,4,5,4,6,3
92201815,luca,2026-08-12T04:35:35.978Z,16381624,LumenLiquidity,1147.8,LOSS,True,7,120,49,eb1222900df9baf0,Mega Lucario ex,f8261f22b9cd0c48,Dragapult ex,17,1,21,3,3,1.0,0,0,0,0,False,5,5,2,2,4,3,3,1
92200876,luca,2026-08-12T04:31:35.919Z,16536318,李秉叡（ntumlnoob）,1089.0,WIN,True,11,147,94,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,15,4,32,3,5,0.6,0,0,0,-1,False,14,6,4,5,6,3,3,4
92199848,luca,2026-08-12T04:27:36.014Z,16380946,flg,1127.4,LOSS,True,13,209,78,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,19,0,29,3,4,0.75,0,0,1,1,False,13,6,5,5,7,4,3,0
92198976,luca,2026-08-12T04:23:36.085Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,5,56,42,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,0,0,11,2,2,1.0,0,0,0,-1,False,8,5,1,2,3,1,2,0
92198029,luca,2026-08-12T04:19:37.976Z,16594494,Yopta,1076.7,WIN,True,11,124,67,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,28,0,30,5,5,1.0,0,0,0,-2,False,9,5,4,3,5,3,5,0
92197087,luca,2026-08-12T04:15:36.020Z,16374469,西松大祐,589.9,WIN,False,12,156,76,eb1222900df9baf0,Mega Lucario ex,c4ebaf6e42fc8a2a,Fezandipiti ex,8,1,19,5,6,0.8333333333333334,0,9,0,-4,False,8,5,5,4,6,2,5,1
92196147,luca,2026-08-12T04:11:35.848Z,16473979,pikap pika pikaa pikachuuuuuuu,556.9,WIN,True,9,76,48,eb1222900df9baf0,Mega Lucario ex,bdc6ed6c4b219556,Mega Kangaskhan ex,10,0,20,4,4,1.0,0,9,0,-3,False,7,5,4,2,3,2,4,0
92195195,luca,2026-08-12T04:07:35.896Z,16386110,Jonathan Coletti,981.9,WIN,True,11,137,81,eb1222900df9baf0,Mega Lucario ex,24d2f0bf0cee8dde,Fezandipiti ex,3,1,24,5,5,1.0,0,3,0,-4,False,8,6,4,5,4,4,5,1
92192398,luca,2026-08-12T03:55:35.945Z,16385250,matsurih,996.3,LOSS,False,10,149,85,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,11,1,33,3,5,0.6,0,0,1,0,False,17,6,3,8,5,3,3,1
92194266,luca,2026-08-12T04:03:36.155Z,16380946,flg,1127.4,LOSS,True,7,64,19,eb1222900df9baf0,Mega Lucario ex,e5715ac88e49eb09,Cynthia's Garchomp ex,4,0,6,0,3,0.0,0,2,1,1,False,2,1,2,0,2,0,0,0
92193323,luca,2026-08-12T03:59:35.848Z,16404352,Oshbocker,1192.2,LOSS,False,10,137,66,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,5,1,15,2,3,0.6666666666666666,0,0,2,2,False,11,5,3,2,5,3,2,1
92191475,luca,2026-08-12T03:51:35.954Z,16395522,ropeadope,955.2,WIN,False,12,117,78,eb1222900df9baf0,Mega Lucario ex,14db4b34cc8fbbb7,Mega Kangaskhan ex,21,1,34,4,6,0.6666666666666666,0,0,0,-4,False,10,5,6,4,6,3,4,1
92190545,luca,2026-08-12T03:47:36.192Z,16422381,JB Bryant,1002.8,WIN,True,9,144,61,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,18,0,26,4,4,1.0,0,1,0,-1,False,10,5,3,2,4,3,4,0
92189626,luca,2026-08-12T03:43:36.590Z,16675594,pikapika,974.5,WIN,True,13,173,89,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,20,0,32,6,6,1.0,0,7,0,-4,False,10,6,5,9,6,4,6,0
92188670,luca,2026-08-12T03:39:37.183Z,16407428,{{ team_name }} 🏆,811.9,WIN,True,11,114,64,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,18,0,27,4,5,0.8,0,0,0,-2,False,9,5,3,3,6,3,4,0
92188860,luca,2026-08-12T03:39:37.516Z,16371703,やる気元気ミワハルキ,980.3,LOSS,False,14,125,37,eb1222900df9baf0,Mega Lucario ex,9e2749ec691d6925,Dragapult ex,1,1,2,0,2,0.0,0,0,5,5,False,5,3,2,0,2,1,0,1
92187730,luca,2026-08-12T03:35:36.000Z,16381823,AlphaTcg,1101.0,LOSS,False,12,188,78,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,11,0,26,3,3,1.0,0,0,3,3,False,16,7,4,8,5,3,3,0
92186798,luca,2026-08-12T03:31:35.885Z,16561259,@kdcyberdude,840.9,LOSS,True,15,222,97,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,24,1,41,3,6,0.5,0,0,1,1,False,15,6,6,11,8,3,3,1
92185833,luca,2026-08-12T03:27:35.955Z,16487905,Latios17,345.7,WIN,False,10,135,77,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,21,1,28,5,5,1.0,0,0,0,-1,False,9,6,4,4,5,4,5,1
92184025,luca,2026-08-12T03:19:36.311Z,16382227,takusemba,961.2,WIN,False,8,133,62,eb1222900df9baf0,Mega Lucario ex,42bfead19b0f8e10,UNLABELED,21,1,26,4,4,1.0,0,0,0,-2,False,10,6,3,2,5,3,4,1
92184874,luca,2026-08-12T03:23:35.933Z,16604511,OiOi-Poke,915.0,WIN,True,9,125,67,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,9,0,22,4,4,1.0,0,0,0,-1,False,9,6,4,3,5,4,4,0
92183940,luca,2026-08-12T03:19:36.213Z,16676325,huaiyuyoung,983.5,WIN,False,2,20,16,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,3,0,3,1,1,1.0,0,0,0,0,False,4,2,1,1,1,0,1,0
92183009,luca,2026-08-12T03:15:36.038Z,16511634,Otter Vibe,964.6,WIN,True,9,93,63,eb1222900df9baf0,Mega Lucario ex,f42e8cc48fbfdf2c,Mega Kangaskhan ex,9,2,22,3,4,0.75,0,0,0,-3,False,8,5,3,3,4,2,3,2
92182056,luca,2026-08-12T03:11:05.815Z,16380293,TFA Alliance,822.7,WIN,True,13,206,92,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,10,1,30,5,6,0.8333333333333334,0,1,0,-3,False,12,6,4,7,7,2,5,1
92181140,luca,2026-08-12T03:07:11.717Z,16537239,LP,691.3,WIN,False,10,148,75,eb1222900df9baf0,Mega Lucario ex,4a256a933ac66a7b,Mega Lucario ex,8,2,23,5,5,1.0,0,0,0,-3,False,8,5,4,3,5,4,5,2
