episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_STADIUM,action_count_ATTACH_ENERGY,action_count_PLAY_POKEMON,action_count_EVOLVE,action_count_ABILITY,action_count_PLAY_SUPPORTER,action_count_RETREAT,action_count_ATTACK,action_count_PLAY_ITEM
92226320,v2,2026-08-12T06:19:41.078Z,16377317,Kosuke Izumi,498.3,WIN,False,16,148,100,59138a345c6b933a,Dragapult ex,0a0050a841fbdbab,Iono's (Bellibolt/Voltorb),43,2,40,4,6,0.6666666666666666,0,0,0,-4,False,0,7,4,5,7,7,2,4,9
92227252,v2,2026-08-12T06:23:41.947Z,16679407,Nanda Kishore Reddy,466.1,WIN,True,13,172,117,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,52,0,48,4,6,0.6666666666666666,0,0,1,-2,False,1,7,3,6,16,5,0,4,8
92228172,v2,2026-08-12T06:27:41.177Z,16634301,M_Murata,517.2,WIN,False,14,190,118,59138a345c6b933a,Dragapult ex,52bf12478558b725,Fezandipiti ex,46,2,37,5,7,0.7142857142857143,0,5,1,-3,False,1,6,4,3,9,7,2,5,12
92229131,v2,2026-08-12T06:31:40.741Z,16584609,FENGZHAOFAN,532.5,LOSS,False,14,184,109,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,42,2,40,4,7,0.5714285714285714,0,7,2,-1,False,0,5,7,3,7,7,2,4,9
92230119,v2,2026-08-12T06:35:40.678Z,16422267,Stef Limited,527.8,WIN,False,20,179,120,59138a345c6b933a,Dragapult ex,0a557dd16c86e32a,Fezandipiti ex,53,5,57,5,10,0.5,5,2,0,-2,False,2,8,5,5,12,10,5,5,8
92231060,v2,2026-08-12T06:39:46.044Z,16395108,まきたくん,521.2,WIN,True,11,154,101,59138a345c6b933a,Dragapult ex,31ec91ce386221dd,Fezandipiti ex,35,3,36,4,5,0.8,0,3,0,-1,False,2,7,4,7,7,5,3,4,8
92232003,v2,2026-08-12T06:43:40.881Z,16682163,Stupid multiverse,610.3,WIN,False,12,137,103,59138a345c6b933a,Dragapult ex,6422f89d02cc9a7d,UNLABELED,37,3,26,4,6,0.6666666666666666,0,3,2,-1,True,0,6,4,3,5,5,3,4,12
92232944,v2,2026-08-12T06:47:41.994Z,16371722,nasuo445,571.4,LOSS,False,8,131,66,59138a345c6b933a,Dragapult ex,33cb431531b09e62,Teal Mask Ogerpon ex,23,2,22,1,3,0.3333333333333333,0,0,5,5,False,0,3,4,3,4,4,2,1,10
92233918,v2,2026-08-12T06:51:40.507Z,16400433,hoshimori,440.7,WIN,False,14,172,121,59138a345c6b933a,Dragapult ex,495ada165249d16e,UNLABELED,49,2,55,4,7,0.5714285714285714,0,0,0,-2,False,0,7,5,5,11,7,2,4,11
92234853,v2,2026-08-12T06:55:40.488Z,16397888,ra5anchor,613.9,WIN,True,9,101,71,59138a345c6b933a,Dragapult ex,b166b6b93aa1670b,UNLABELED,22,0,22,3,3,1.0,0,0,0,-2,False,1,4,3,6,7,4,0,3,3
92235791,v2,2026-08-12T06:59:40.793Z,16411657,Borrun,623.9,WIN,True,11,173,109,59138a345c6b933a,Dragapult ex,4a256a933ac66a7b,Mega Lucario ex,45,2,26,3,4,0.75,0,0,3,1,True,2,3,4,6,10,4,2,3,12
92236755,v2,2026-08-12T07:03:41.429Z,16372916,Ichigo_E,366.2,WIN,True,11,155,85,59138a345c6b933a,Dragapult ex,b43a53d96da0f0b5,Marnie's Grimmsnarl ex,21,0,18,4,4,1.0,0,2,0,-4,False,2,5,3,5,6,5,0,4,4
92237689,v2,2026-08-12T07:07:41.320Z,16435770,suirindo,623.5,LOSS,True,3,24,12,59138a345c6b933a,Dragapult ex,aa2398e69a3549ad,UNLABELED,0,0,0,0,0,,0,0,0,0,False,1,2,0,0,0,1,0,0,0
92238642,v2,2026-08-12T07:11:40.902Z,16669423,Gleb (i-aztec),731.4,LOSS,True,13,205,106,59138a345c6b933a,Dragapult ex,fcac695071c3f3cf,Fezandipiti ex,37,2,34,3,5,0.6,0,0,3,3,False,0,6,6,7,9,5,2,3,10
92239608,v2,2026-08-12T07:15:41.148Z,16375729,NangJP,657.6,WIN,False,12,163,110,59138a345c6b933a,Dragapult ex,210eeec644e802ae,UNLABELED,42,1,36,4,5,0.8,3,0,2,0,True,1,4,3,6,10,6,1,4,13
92240528,v2,2026-08-12T07:19:41.181Z,16508571,金属細工師のキッコ,797.3,WIN,True,11,147,94,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,37,1,23,4,4,1.0,0,0,1,0,False,0,5,5,3,6,5,1,4,9
92241477,v2,2026-08-12T07:23:43.319Z,16377401,Bill Xu,722.5,LOSS,True,13,168,84,59138a345c6b933a,Dragapult ex,59138a345c6b933a,Dragapult ex,17,2,9,1,3,0.3333333333333333,0,0,2,2,False,0,7,3,5,8,4,2,1,9
92252769,v2,2026-08-12T08:11:47.010Z,16380051,NayuNayu,634.7,WIN,False,14,233,112,59138a345c6b933a,Dragapult ex,3168e14fda3be119,Dragapult ex,46,1,48,5,7,0.7142857142857143,0,0,2,2,True,0,5,3,6,6,6,1,5,14
92275122,v2,2026-08-12T09:47:40.908Z,16397006,Tys TANA,696.6,WIN,True,15,158,101,59138a345c6b933a,Dragapult ex,279c0014087a8771,Fezandipiti ex,41,0,21,4,4,1.0,0,0,3,-1,True,2,6,5,3,11,5,0,4,9
92278623,v2,2026-08-12T10:03:41.010Z,16495545,hau_uah,830.3,WIN,True,13,208,110,59138a345c6b933a,Dragapult ex,083c8b48d716ed6b,Fezandipiti ex,31,3,34,5,5,1.0,0,3,1,0,False,1,5,4,4,7,6,3,5,9
92289688,v2,2026-08-12T10:51:43.393Z,16673588,Artalmaz31,608.5,WIN,True,13,149,88,59138a345c6b933a,Dragapult ex,d83b61b3461e6f3d,Teal Mask Ogerpon ex,32,2,21,4,6,0.6666666666666666,0,0,0,-4,False,0,4,2,4,4,6,2,4,6
92309614,v2,2026-08-12T12:15:36.627Z,16373720,MooDerEchte,643.9,WIN,True,15,200,136,59138a345c6b933a,Dragapult ex,1fdbdee2f03f8776,Mega Lopunny ex,34,2,35,6,6,1.0,0,0,0,0,False,0,6,4,7,12,7,2,6,12
92316974,v2,2026-08-12T12:47:35.698Z,16390732,yw8837,552.7,LOSS,True,9,182,94,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,42,1,19,3,3,1.0,0,0,2,2,False,1,5,4,5,12,4,1,3,7
92347825,v2,2026-08-12T14:59:36.065Z,16381522,waticson,723.8,WIN,True,19,221,140,59138a345c6b933a,Dragapult ex,0b145865cca81cc4,UNLABELED,49,3,52,6,9,0.6666666666666666,0,0,4,0,True,2,7,9,3,9,7,3,6,13
92350502,v2,2026-08-12T15:14:12.801Z,16516666,Zyy7390,806.5,WIN,False,12,183,108,59138a345c6b933a,Dragapult ex,831fd3a04060c7c2,UNLABELED,46,4,31,4,6,0.6666666666666666,0,3,0,0,False,0,7,4,6,7,5,4,4,11
92355171,v2,2026-08-12T15:34:01.035Z,16380444,menace369,634.5,WIN,True,13,176,121,59138a345c6b933a,Dragapult ex,fcac695071c3f3cf,Fezandipiti ex,34,3,37,5,5,1.0,0,0,1,-3,False,0,6,3,6,10,6,3,5,10
92387111,v2,2026-08-12T17:50:03.710Z,16694717,John Augustine Young,721.1,LOSS,False,23,196,142,59138a345c6b933a,Dragapult ex,14db4b34cc8fbbb7,Mega Kangaskhan ex,49,2,41,9,11,0.8181818181818182,0,23,0,-4,False,1,7,1,5,4,8,2,9,13
92415836,v2,2026-08-12T19:54:13.333Z,16388260,Sakito Horie,701.7,WIN,True,11,129,85,59138a345c6b933a,Dragapult ex,e0c359af92edd6f4,Teal Mask Ogerpon ex,23,0,22,3,3,1.0,0,0,4,2,True,2,6,3,5,9,5,0,3,10
92428800,v2,2026-08-12T20:50:03.516Z,16693498,Yu Bo yuan,773.6,LOSS,True,7,125,47,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,8,2,10,2,3,0.6666666666666666,0,0,0,0,False,1,1,1,2,4,2,2,2,1
92447449,v2,2026-08-12T22:10:03.796Z,16440016,SunSeeker染汐,436.4,LOSS,True,15,172,82,59138a345c6b933a,Dragapult ex,cf3a7feaf2e07bff,UNLABELED,32,1,25,3,7,0.42857142857142855,0,0,1,1,False,1,7,3,3,3,4,1,3,9
92461081,v2,2026-08-12T23:11:36.969Z,16376982,Praxel,727.6,LOSS,False,12,208,105,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,47,3,49,3,6,0.5,0,0,2,2,False,2,5,4,6,10,6,3,3,11
92466796,v2,2026-08-12T23:35:37.850Z,16462485,teem,842.9,LOSS,True,13,201,121,59138a345c6b933a,Dragapult ex,b166b6b93aa1670b,UNLABELED,32,3,20,4,5,0.8,0,4,1,1,False,0,7,4,5,12,6,3,4,12
